x1,x2,y_krig,mse
1.562777,-0.868287,0.164542,0.0048103906
-1.038323,0.525267,0.490787,0.0064077505
0.815134,0.425790,1.410953,0.0076798944
1.704276,-0.296493,1.280964,0.0034958329
-0.353974,-0.621494,-0.240307,0.0066601606
-1.064904,-0.026820,2.527012,0.0057588075
0.970624,-0.757849,0.544013,0.0079788651
-1.193174,0.396442,1.006672,0.0063850959
1.186977,-0.765681,0.515243,0.0110786542
0.605135,0.751859,0.607981,0.0115691070
-0.076003,-0.136951,-0.138332,0.0086486036
-1.657685,-0.976228,3.673975,0.0046904275
1.988669,0.840162,4.700037,0.0023030767
0.236147,-0.514220,-0.768491,0.0084641111
-1.213205,0.259430,1.682208,0.0043071259
-1.521260,0.674248,-0.001295,0.0038544699
0.547708,0.701172,0.394998,0.0104086027
1.654839,0.023328,2.317380,0.0091353871
1.878403,0.937200,4.752963,0.0025611054
1.102390,-0.800987,0.606318,0.0090099920
1.833770,0.918904,4.573471,0.0045053935
0.258483,-0.529104,-0.755221,0.0084692848
-0.190596,-0.190737,-0.027164,0.0069914576
-0.439568,-0.425299,0.305698,0.0007008075
0.449294,0.980469,0.549080,0.0104015710
1.502869,0.763628,3.125881,0.0075019425
-0.130812,-0.918527,-0.400188,0.0033241320
-1.467636,-0.379025,2.354636,0.0080206876
1.210646,-0.241804,1.671590,0.0106419796
-0.744808,-0.950894,1.782972,0.0061799586
-0.262479,0.056744,0.270988,0.0014587549
0.934586,0.085779,2.057453,0.0072316251
0.335459,-0.594861,-0.689148,0.0086455024
-1.904742,-0.324003,3.075379,0.0086210651
-0.866800,0.194269,1.727907,0.0025403700
-0.933842,0.599942,0.256858,0.0068586033
1.311686,0.632436,2.384431,0.0045590085
-0.535347,0.233464,0.764253,0.0063307016
0.697330,-0.091789,1.427996,0.0014964071
0.134717,-0.202589,-0.237315,0.0133211198
1.399612,0.354889,2.373076,0.0010222587
-0.717229,0.487430,0.355886,0.0069945109
-1.338870,-0.043077,2.653832,0.0080753413
-1.365952,-0.705531,2.230711,0.0091605646
-1.728503,0.300827,1.743271,0.0069341110
0.731682,-0.445318,0.595149,0.0027051815
0.017234,-0.678630,-1.012700,0.0072379915
-1.784499,0.834049,0.437942,0.0044148816
-1.978590,0.450836,1.749279,0.0064388822
-0.611863,0.155949,1.204279,0.0055214023
