var,F_est,F_error,F_error_error,tauint,tauint_error,wopt
beta,3.0050071192,0.0606152563,0.0020866237,5.0740551510,0.3255058912,38.0000000000
sigma,22.0088466781,1.2707202592,0.0414086746,4.5116152407,0.2741387422,34.0000000000
theta1,1.5351192135,0.0109393950,0.0002145755,1.4038315755,0.0518875721,12.0000000000
theta2,0.9146326148,0.0229824457,0.0010856681,10.4045263051,0.9097333343,72.0000000000
