likelihood_sigma,sigma
1.9898797870e-22,3.7031495315
6.1468903649e-20,6.8222013551
1.3347699002e-20,15.3650955033
1.0170421066e-20,5.0436454302
1.2032453429e-27,2.3027120471
2.8901418239e-28,2.2134315052
1.9931238509e-23,3.2769534577
8.0278276700e-20,9.5378326221
1.0121263227e-33,1.6719043931
3.3600686517e-21,4.5246687071
6.0625814113e-21,4.7781603232
8.6851561029e-20,8.6214153744
2.7011760536e-22,26.0331888621
2.0723632955e-21,4.3458112811
5.3530122781e-25,2.8101735006
3.7144311302e-20,12.5208107326
8.4153066388e-21,4.9407543040
3.7784307765e-25,50.5928696864
8.9861753410e-24,3.1574296434
1.4419117901e-21,4.2248806776
2.7320475750e-30,1.9703670685
2.4324237906e-21,4.4026680375
7.8269548501e-20,7.5240926315
8.4275496084e-20,9.1375603060
5.4769380567e-23,3.4471665706
3.1446643302e-24,41.4069235680
3.9627427744e-27,2.3841887929
7.9359143564e-20,9.6148122224
6.3646669272e-29,2.1271464133
8.0401803584e-25,2.8542934888
2.2303412424e-21,4.3716050797
2.3602643916e-20,5.6167600490
4.8615133738e-35,336.5498025532
8.6241778987e-20,8.2300739071
3.1808552093e-23,32.8451203465
2.6992184838e-20,5.7335518862
4.0642458765e-27,2.3859925103
2.8169013767e-20,5.7728074197
5.4132219129e-20,6.5811125258
1.4376263555e-23,35.6291315502
1.0681393039e-20,5.0714938036
5.1410141961e-24,3.0801024952
2.1046443266e-31,1.8609210962
1.9587902252e-20,14.3363618764
4.7465280618e-28,2.2435481676
1.6132705365e-20,5.3295191263
7.6171124288e-20,9.8607657493
1.5792615623e-32,1.7634853430
2.1536609663e-31,1.8618424688
4.0886024177e-20,6.1728927501
3.0905935829e-30,1.9760073630
3.5374548906e-20,6.0032921035
1.3539565262e-27,2.3104837257
4.8693074425e-21,4.6787818740
7.8013778701e-20,9.7219784413
7.9164506069e-20,9.6306877838
4.0329497188e-21,18.5125737358
2.3167716247e-21,4.3851388598
6.0796693467e-33,1.7304072475
7.5999261570e-20,9.8733331920
7.3055084447e-26,58.7712443052
5.4295034184e-28,2.2518763882
5.3509428234e-20,6.5613985959
5.8752420492e-31,158.7503191640
5.0230494062e-26,2.5834146177
3.0770381477e-22,25.6468246524
6.1487714780e-20,10.8326424247
2.5219069841e-22,26.2380348479
9.6869565693e-21,16.2111695659
4.4412696894e-21,4.6390052954
1.6899685233e-20,14.7352935419
1.0583661673e-30,1.9281950785
2.1875577265e-20,14.0344940131
1.1029566577e-21,22.0036691911
4.3377212989e-20,6.2488570919
1.9862017257e-23,3.2764055628
9.0247075002e-22,4.0825482896
2.5022514262e-22,3.7542775794
6.8082171570e-20,7.0618241092
1.0906517019e-29,2.0359008832
1.2541895761e-33,1.6786669797
1.6780304662e-24,43.9836610656
6.6767757479e-24,3.1156822614
6.2420273147e-22,3.9799294724
8.3480367379e-30,2.0228548227
2.5447507551e-32,1.7805592647
4.6981111943e-24,3.0680794411
7.0044625766e-25,2.8391436107
5.3991216091e-27,2.4064733170
3.5822342369e-27,2.3770217462
2.8478232771e-30,1.9722613065
8.6872141443e-20,8.4362041815
3.4148906373e-33,1.7110884479
9.9098972976e-28,2.2900647311
3.9633801183e-20,6.1346165025
1.4679321954e-27,2.3158425310
6.9194303995e-22,4.0078535375
4.9643300101e-24,3.0754209289
7.3162645528e-20,7.2715803901
4.4044839796e-20,6.2692057460
7.5614418292e-21,16.8613501430
6.2854788052e-24,38.6971506146
1.1001169380e-23,36.6020138355
2.1155618416e-20,14.1262966939
5.4171553738e-34,278.0992526221
1.1547589541e-35,376.9194777380
6.3796232736e-23,3.4749489162
7.0617242099e-29,2.1328214605
3.4586435237e-20,12.7339400122
2.8547672701e-31,1.8732059269
1.2399858418e-20,5.1596654916
3.8695315786e-20,6.1058560702
1.5010279384e-32,1.7616887926
5.8147997535e-21,4.7587102861
2.3251315315e-20,5.6042831829
5.2306726953e-21,4.7105001814
1.0770330906e-25,56.7482752376
7.7654100339e-22,4.0397974257
2.2728337457e-21,4.3783071342
4.6074306520e-22,24.4677250732
2.9808813161e-20,13.1670276738
8.2907868412e-20,9.2917039520
3.8685832815e-27,2.3824767936
6.4499755130e-23,3.4769693376
5.8978875082e-24,3.0986667219
6.3834922679e-20,6.9047610677
8.5589247293e-21,16.5363224916
8.0533959777e-20,9.5157602494
1.5693801340e-26,2.4873531040
4.9942605568e-21,17.9496182993
1.5350375182e-22,27.7443118529
1.0657083865e-32,1.7496846327
2.0575300069e-26,2.5089390199
7.6178292291e-29,2.1369830538
1.0706977671e-32,1.7498470915
2.0357081927e-23,34.3910419311
8.4803323371e-20,8.0160636962
1.4271355837e-20,15.1872883159
7.6055352539e-20,7.4075257290
1.8221343698e-29,2.0615015147
6.7469936261e-20,7.0383438665
5.3798625223e-22,24.0220195128
1.0408272833e-31,1.8332343867
1.1926286084e-22,3.5955360609
7.7938761962e-21,16.7819563875
5.7720715597e-23,3.4566568802
3.2372600838e-24,41.2906609375
2.7673648900e-41,1034.7385624648
1.3450426414e-30,148.3945038157
1.2067406640e-30,149.7139877305
1.4633765242e-24,2.9225154202
6.7028428622e-20,7.0216046792
8.4988392458e-20,8.0379357492
6.5540609009e-31,1.9076597269
5.9433869773e-20,6.7533631036
1.7024552819e-31,1.8524824170
1.0420766078e-23,3.1787924155
3.2850320052e-20,5.9241014494
8.2203048304e-20,9.3625816482
1.7388846367e-24,2.9429374556
6.6560996137e-20,7.0040508068
3.6832461157e-30,1.9840959942
2.0220321778e-20,5.4930201927
8.6531918421e-35,321.5697601835
1.3441039620e-27,83.4153271852
1.8602933377e-24,43.5525770234
6.9310558297e-20,10.3314472808
7.4805064071e-28,2.2720261272
4.9020388727e-25,2.8008506086
2.9161607371e-25,2.7473566689
2.7857244900e-26,2.5336337083
9.0268723164e-21,16.3965866550
8.2815762071e-28,2.2785124751
5.0321271732e-20,6.4617082295
5.8129088424e-21,4.7585597053
2.7962705926e-27,2.3596517194
7.8259460006e-22,4.0419745550
5.4916483679e-30,2.0028007055
8.0122361692e-20,7.6337931188
3.3500577555e-27,2.3722926705
8.7154337382e-21,4.9592504247
6.0564945605e-20,6.7913990303
5.0896984811e-21,17.8998681881
5.1766338436e-24,3.0810289540
8.0579469040e-20,7.6631322589
3.3299336489e-22,3.8208907945
7.4346435081e-20,9.9915662924
1.1633609515e-32,1.7527397509
8.8579639221e-23,3.5368176874
3.0090794591e-22,3.7968957536
2.2905795215e-24,2.9763223508
1.3799230216e-27,83.2275583124
8.2193262355e-28,2.2780299079
1.8997179509e-21,20.5194918968
5.7363382834e-21,17.5857925083
8.2697480009e-20,9.3133454586
7.1444839083e-21,17.0100712226
1.2956024744e-20,5.1866443880
8.8943439646e-26,57.7383473334
1.0465916055e-21,22.1487438359
1.2542611496e-24,45.2180928711
3.5983136707e-20,12.6161618105
2.0307655627e-25,2.7115531660
8.0231735743e-20,7.6407190364
8.6746437587e-20,8.3696369399
2.2946780548e-21,4.3817158973
1.3091376003e-24,2.9095179258
6.6501639615e-21,4.8222250357
4.9117524864e-20,6.4244993855
5.4319206346e-22,3.9431244439
7.3263496542e-20,7.2760756421
5.8236824957e-22,3.9614397860
1.1354864387e-30,1.9312517458
1.9707101339e-20,5.4734469928
8.5485989813e-20,8.9684070282
8.0284779961e-28,87.1711228701
8.4843497775e-20,9.0637214689
2.0296801066e-20,14.2395551102
1.0137774910e-20,5.0418373344
1.3160784350e-25,55.7263266740
7.6973678421e-20,9.8012830191
9.0090172766e-21,4.9769549074
7.6323375888e-20,7.4209664732
9.6199779151e-23,3.5528478223
2.9360289903e-21,19.3533252161
6.4805521039e-29,2.1281291837
9.4257347067e-26,2.6392733149
9.3218508342e-25,2.8707694757
4.8960261534e-25,2.8007211395
9.5238714474e-32,1.8298090766
1.9692588740e-25,53.7172212831
1.3181016046e-23,35.9427486221
6.7106025740e-25,2.8344760655
5.1582137638e-23,3.4364103375
1.5303769492e-25,54.9671916298
7.7870498981e-25,47.2970089291
1.3186225434e-23,35.9413166654
2.0841787050e-20,5.5164134925
1.2933764625e-20,5.1855775703
1.3675067791e-20,15.3007682079
2.9072800921e-22,3.7888407295
1.4067525195e-27,2.3130163081
1.1135254185e-26,2.4606364160
7.1452854063e-20,7.1975804652
2.7426741246e-27,2.3583072970
4.0712600357e-20,12.2405561216
3.0888042235e-28,2.2174119010
