likelihood_theta2,theta2
1.8226858572e-25,1.1555392940
2.1954676664e-25,1.1944151641
5.4580229435e-38,0.0682164808
5.9038153731e-36,2.4146519191
1.7854545798e-46,2.8756457637
2.9225813057e-67,3.5897830149
2.8222549624e-70,3.6851901147
7.2503506209e-110,4.9106880127
5.6641069422e-28,0.7067091540
9.6452638851e-31,0.4472002605
1.0813776388e-52,3.1048512752
2.5921845473e-28,1.9045773335
3.8438631812e-35,0.1769586419
3.0966361011e-27,0.7980561211
2.7348738377e-31,0.4058653730
1.3885242770e-31,0.3846702820
5.8130567833e-26,1.0112067031
8.1945718548e-32,0.3686555619
9.1202086376e-26,1.0583714377
3.7510365163e-41,0.0080595252
7.9933777434e-27,0.8565210410
5.5834626633e-31,0.4289549424
5.6300519383e-26,1.0081243161
4.2683233255e-30,0.4994888593
1.9027494488e-27,0.7703576629
4.5218144296e-34,0.2307825194
9.1353402318e-30,0.5278684516
1.8406297614e-34,2.3349161743
2.4504525677e-25,1.2252757430
1.8891451416e-26,1.6822163953
2.6565268051e-25,1.3577671310
7.2149293049e-61,3.3830801376
1.6626932903e-31,0.3902368153
8.3224346133e-37,0.1073599222
1.7464693865e-30,0.4675935006
5.9836899641e-34,0.2373492800
3.9391536401e-26,0.9755380630
1.1377799042e-38,0.0495878305
1.9229223198e-27,0.7709431477
2.6527060786e-27,0.7891044991
5.2558368490e-31,0.4269670305
1.4554378849e-26,0.8974352023
9.7374454284e-55,3.1764222889
1.3815608822e-25,1.5009118023
6.5222614962e-28,1.8646501462
1.2357457877e-37,0.0790713475
1.5917325012e-28,0.6464019567
1.0471847714e-31,0.3760516519
1.4159445328e-29,0.5447601529
3.1513056434e-30,0.4884921313
4.5567190588e-35,2.3679619623
1.6351351437e-29,0.5503996603
1.4809825043e-25,1.4911962510
6.2189558039e-26,1.0178118156
6.0800801093e-34,0.2377267038
2.6982179391e-25,1.3483843251
3.6821779310e-35,0.1760830520
3.0989051847e-27,0.7980988481
2.0953624196e-27,0.7757336195
1.1312896862e-35,0.1528793447
2.6552064557e-34,0.2185571357
5.0565678025e-38,0.0672408509
1.0488836393e-68,3.6356418857
3.5618531732e-29,0.5817366504
1.6596876461e-28,0.6483009741
1.6320261519e-31,0.3896594727
1.3636384367e-34,0.2037229648
5.7889314097e-30,0.5107137348
5.8904562473e-28,0.7086655361
1.3067816933e-30,0.4575545812
5.7526140047e-29,1.9642973903
3.7265110896e-28,1.8892148776
2.5833290851e-28,0.6687451696
4.0191951277e-32,0.3476577930
3.0814522349e-35,0.1724771002
1.9094112795e-36,0.1209815975
9.6803980307e-32,0.3736718248
2.4786217666e-39,2.5779291423
6.7556750491e-32,2.1818646934
4.8688655111e-29,0.5947343130
1.0356229956e-37,0.0766599874
6.1803142714e-32,0.3602544008
1.4760511382e-38,0.0524718621
1.4174230319e-34,0.2045699623
2.6537464538e-25,1.2581526717
7.5380667714e-30,0.5205894773
1.4102249862e-29,0.5446022255
1.3050677618e-27,0.7498088252
4.5652800355e-29,0.5920368110
5.2349249597e-38,0.0676826867
1.2267734228e-36,0.1136249918
5.4579197577e-29,0.5995460447
2.0094353105e-34,0.2122905496
2.3508933643e-25,1.2124758831
2.2773787880e-30,0.4769127357
4.6626983970e-32,0.3519760708
6.8470436427e-37,2.4619701588
1.0895066753e-32,2.2318226511
1.4942016955e-27,0.7571008055
1.5218742772e-32,2.2228751393
2.6102967116e-25,1.2498285578
2.7763428812e-39,0.0354955797
6.5192282948e-30,2.0418067728
2.2521382112e-25,1.2007967955
5.9571646707e-26,1.5926769252
6.8170798263e-30,0.5168121940
1.7340554792e-28,1.9211227376
1.5311747899e-34,0.2062653741
2.2253021416e-25,1.1977502251
2.3462875887e-25,1.2119119958
1.2045312278e-28,0.6338788752
2.4116028558e-35,0.1675749643
4.7762316614e-30,0.5036090299
1.2496307616e-30,0.4560198438
1.1044280427e-33,0.2520423890
1.7930631065e-53,3.1323403966
5.5808828604e-27,0.8335771571
1.5785218116e-34,0.2069361282
2.8931949313e-35,0.1712096312
1.6645008773e-30,0.4659192920
2.1700827491e-32,0.3300628335
1.6736390862e-29,0.5513159964
2.7924745143e-33,0.2751453264
7.9126854717e-36,0.1461722278
1.2515610777e-25,1.5139144581
3.5263933032e-26,0.9660322397
3.7056015817e-34,0.2261722716
2.6180383167e-25,1.2512334570
4.9899357030e-26,0.9967532247
6.1673896240e-27,1.7517593565
2.3267983548e-29,0.5644211793
4.0385526358e-79,3.9603865536
7.1295832423e-65,3.5133939087
5.5554215928e-30,0.5091863214
1.9330844376e-34,0.2114266352
1.9536343936e-25,1.1687958602
3.5716286787e-36,0.1317856857
3.2213277860e-34,0.2229567395
3.3122255704e-26,0.9607598045
3.0623046456e-37,0.0920150132
1.2769379182e-35,0.1551855572
6.0874244970e-34,0.2377552279
1.9165118824e-25,1.1650111876
6.2362916414e-31,2.1168341435
9.3829977415e-36,2.4042300420
2.0036172252e-25,1.4405974934
2.0635536675e-25,1.4345497045
1.1547437015e-31,0.3790251004
1.8445547846e-27,0.7686367118
1.4852168912e-25,1.1216835268
2.7309885581e-25,1.2775031156
7.8996355212e-40,0.0251758546
1.6981279050e-27,0.7640793646
5.9967733826e-38,0.0694279003
4.1952286037e-36,0.1346363074
1.2893115422e-25,1.1014030070
1.3652343016e-26,0.8928878737
2.3419968959e-37,0.0880930435
1.7839444589e-36,0.1198365565
3.3098916741e-27,1.7858588117
4.0345145900e-29,1.9775626354
1.1151147497e-29,0.5355026654
2.2706770900e-25,1.2029298434
6.4603228572e-37,2.4632224665
4.2034214107e-85,4.1444380825
2.8984315700e-47,2.9059387118
2.6422304159e-25,1.2558331308
2.8445364901e-26,0.9482524545
1.0576526626e-27,0.7386598350
1.6026176851e-25,1.1335218500
1.6603341119e-34,0.2080514596
6.3040888571e-36,0.1419860451
1.4585956283e-28,0.6424518351
1.5643540493e-27,0.7595938107
1.7560720070e-78,3.9406840811
