var,F_est,F_error,F_error_error,tauint,tauint_error,wopt
beta,3.9225395794,0.1330024064,0.0065377645,3.2552126388,0.2959677790,22.0000000000
sigma,31.3367826626,2.6558529718,0.1117955501,2.1509069629,0.1688660572,16.0000000000
theta1,1.1432548432,0.0181678380,0.0006384556,1.5177580827,0.0993859771,11.0000000000
theta2,1.0171931787,0.0457389289,0.0036252874,9.9663001197,1.4390111972,58.0000000000
