likelihood_sigma,sigma
5.0037905224e-37,1.8798491524
5.1047239202e-37,1.8804601896
5.7020895140e-39,1.7534350898
2.8840082135e-34,110.2969116282
9.1436343950e-37,156.7677332480
3.9488126713e-36,143.4742291364
7.0972866124e-26,3.5005343048
3.4877452411e-44,430.6448528388
4.0566451208e-23,4.9479484610
1.2672759520e-42,1.5607970152
3.9408483010e-30,2.5794376575
1.4493664364e-24,4.0114415782
8.1311323574e-23,5.2530798111
1.2703133357e-31,2.3789009833
1.1613556635e-24,3.9666106839
8.3390709409e-22,7.9063333007
4.9415952113e-29,50.5904449869
8.6066835590e-22,8.8134247105
3.6377901756e-23,4.9054364561
6.9773765247e-37,1.8900813744
2.5791138558e-22,5.9698586619
4.7101967862e-35,2.0317887291
3.1710879943e-31,2.4285857430
3.8324172373e-27,3.1450634065
2.4938404046e-30,2.5503688065
1.0389148194e-26,3.2555185091
4.0032634170e-31,69.7568277298
4.5865450405e-25,3.7931026305
9.9782048238e-31,2.4944951540
1.5506995106e-24,22.8358793546
8.0175346482e-22,9.3681915790
7.8361355744e-22,7.6113468774
6.2045240192e-38,1.8183791166
1.4478218766e-42,1.5634809343
2.1415894491e-29,2.6944338892
2.3159928145e-29,2.7000600998
4.5866819610e-22,11.2644112604
3.0947099737e-27,3.1226294102
3.5036521837e-25,3.7466896188
1.7544978727e-39,1.7232579529
1.0529676478e-24,23.6454188473
1.9110956763e-31,73.1828472274
6.7376673744e-22,10.1204637264
4.9719509210e-37,1.8796539357
1.0382061086e-24,23.6751739550
3.5023456503e-24,4.2058699324
2.9180867576e-36,1.9356140323
7.6504673139e-34,2.1400604257
8.5355426371e-22,8.0799600893
7.8393282694e-22,9.4888690659
8.2428255585e-22,9.1976949354
2.6611576491e-27,3.1070390118
1.7170944775e-27,39.3813097613
6.6640020660e-22,7.1545974728
1.3437460071e-44,1.4749276380
9.9575790571e-28,40.9668719783
8.8098594330e-23,5.2927692102
4.1498186277e-23,4.9569652964
8.8358279623e-35,2.0551009365
7.6178321829e-23,15.1279405208
1.1331190297e-41,1.6062894983
1.0085464443e-31,2.3667490121
1.7268176326e-26,33.1439045902
5.5333705735e-28,2.9558592452
2.3636090042e-38,1.7914745530
3.5245455897e-22,11.9157325590
3.9283827983e-34,2.1129620094
5.5588247445e-22,10.7359716153
8.6908820909e-25,3.9100673516
3.1392069744e-43,1.5332802035
4.3212268370e-25,25.5563923167
1.5645081039e-27,3.0537248992
4.9391285768e-22,11.0678661620
1.7935432716e-45,1.4401313552
1.0469156454e-41,1.6045948105
4.2186005976e-40,1.6882914865
1.4806464772e-24,4.0158402654
7.2948770898e-22,7.3789007832
6.0542680446e-30,58.3207580286
3.9268828044e-35,2.0251621596
8.7152905956e-22,8.5165211661
1.6694584393e-35,1.9946569406
4.7352434424e-41,1.6376232748
3.6401062046e-47,1.3776670274
1.4286089969e-25,28.0360112557
7.0279051394e-36,1.9648580995
5.5810101210e-22,6.8237689699
1.6992925142e-39,1.7224556968
7.2422654180e-25,24.4398997761
3.8291428148e-38,1.8048104255
3.7185679445e-43,1.5365623363
7.9772944877e-32,2.3545506702
1.2344565423e-36,1.9079405979
8.0989118024e-32,77.3433656102
1.6315608640e-42,1.5658972663
1.5725298180e-45,1.4379218952
5.7110780008e-31,68.1604660526
4.7167178833e-22,6.5813314053
1.5193664511e-26,3.3003620232
4.4021164347e-27,3.1598301357
1.2517558498e-22,5.4808130054
5.3794165250e-33,2.2242623673
4.1589898672e-30,2.5829135971
7.8011913085e-22,9.5135543050
8.6646686698e-22,8.2643960416
9.5601901356e-27,34.6716136129
8.6901810238e-22,8.6418991789
1.7319048284e-23,4.6449290602
5.9816444394e-22,6.9410344988
8.0537562874e-22,7.7243252460
1.0623447131e-36,155.3531454230
1.4525875489e-36,1.9131050434
5.8191598056e-22,6.8929306799
7.2372862220e-43,1.5496195716
3.7245642960e-29,2.7348362753
2.8789966989e-22,12.3812960746
2.2401684939e-38,1.7900056652
9.6556996958e-23,5.3395310304
3.7313016663e-27,3.1422349375
1.3112177666e-27,3.0365127918
3.1761739515e-24,21.3663224688
2.5619313410e-40,1.6764289949
5.7950340548e-34,2.1286696487
9.8376462233e-24,19.1144595674
4.0758919863e-32,2.3204322048
2.4209927348e-24,21.9185065875
8.8466225300e-24,19.3231934120
