var,F_est,F_error,F_error_error,tauint,tauint_error,wopt
beta,3.1768137139,0.0597616775,0.0019953345,4.3280712131,0.2696978608,33.0000000000
sigma,22.7580311940,1.1962114737,0.0381090760,3.8339582791,0.2284163520,30.0000000000
theta1,1.4369537454,0.0115867529,0.0002455835,1.5443426360,0.0616071223,13.0000000000
theta2,0.9695635997,0.0266189521,0.0013604930,11.5495982675,1.0902949572,78.0000000000
