W,tauint,error
0.000000,0.500000,0.000000
1.000000,0.960988,0.011087
2.000000,1.188423,0.019390
3.000000,1.306516,0.026108
4.000000,1.384520,0.031947
5.000000,1.431660,0.036934
6.000000,1.463355,0.041355
7.000000,1.481964,0.045236
8.000000,1.500135,0.048953
9.000000,1.514739,0.052428
10.000000,1.524458,0.055618
11.000000,1.533602,0.058683
12.000000,1.538736,0.061497
13.000000,1.544343,0.064242
14.000000,1.554858,0.067121
15.000000,1.565062,0.069932
16.000000,1.571135,0.072506
17.000000,1.580255,0.075171
18.000000,1.592409,0.077946
19.000000,1.595359,0.080230
20.000000,1.594131,0.082251
21.000000,1.588169,0.083967
22.000000,1.590520,0.086070
23.000000,1.592290,0.088102
24.000000,1.597611,0.090298
25.000000,1.607494,0.092730
26.000000,1.617472,0.095153
