tauint,rho,drho
0.000000,1.000000,0.000000
1.000000,0.643739,0.005119
2.000000,0.458708,0.007375
3.000000,0.340943,0.008620
4.000000,0.275780,0.009110
5.000000,0.232482,0.009361
6.000000,0.192903,0.009645
7.000000,0.158169,0.009881
8.000000,0.126347,0.010042
9.000000,0.105742,0.010120
10.000000,0.081636,0.010231
11.000000,0.069357,0.010252
12.000000,0.069268,0.010205
13.000000,0.069135,0.010145
14.000000,0.059740,0.010108
15.000000,0.049716,0.010069
16.000000,0.045406,0.010031
17.000000,0.039190,0.009980
18.000000,0.032831,0.009926
19.000000,0.030669,0.009877
20.000000,0.035104,0.009849
21.000000,0.033278,0.009842
22.000000,0.029371,0.009885
23.000000,0.028605,0.009948
24.000000,0.027972,0.010014
25.000000,0.024956,0.010041
26.000000,0.021929,0.010090
27.000000,0.019920,0.010122
28.000000,0.015493,0.010107
29.000000,0.010112,0.010087
30.000000,0.005460,0.010051
31.000000,0.012662,0.010023
32.000000,0.009136,0.010013
33.000000,0.003351,0.010010
34.000000,0.003291,0.010007
35.000000,0.001097,0.010006
36.000000,-0.003902,0.010006
37.000000,-0.007617,0.010005
38.000000,-0.009561,0.010003
39.000000,-0.007629,0.010001
40.000000,-0.007619,0.009999
41.000000,-0.007268,0.009997
42.000000,-0.013593,0.009994
43.000000,-0.011055,0.009992
44.000000,-0.006664,0.009991
45.000000,-0.005591,0.009991
46.000000,-0.001467,0.009991
47.000000,0.005235,0.009991
48.000000,0.006960,0.009990
49.000000,0.011046,0.009989
50.000000,0.001567,0.009991
51.000000,-0.001844,0.009992
52.000000,0.010545,0.009988
53.000000,0.016010,0.009986
54.000000,0.013844,0.009987
55.000000,0.012396,0.009987
56.000000,0.007497,0.009989
57.000000,0.007766,0.009989
58.000000,0.008369,0.009989
59.000000,0.002435,0.009991
60.000000,-0.000145,0.009991
