x1,x2,y_krig,mse
-0.884800,-0.743012,1.637424,0.0021914199
0.490826,0.656996,0.182717,0.0081104641
-0.463898,-0.674835,0.137469,0.0059623273
1.210854,-0.769565,0.467253,0.0106939799
-1.716610,0.197790,2.281069,0.0065759043
-1.806630,-0.990675,3.864010,0.0006680109
0.926197,0.077762,2.031704,0.0059829017
-0.241601,0.696269,-0.794829,0.0070454558
0.184673,0.427956,-0.395217,0.0031511089
-1.586007,-0.025656,2.815943,0.0070490770
0.627269,0.954087,1.009847,0.0148121669
0.126125,0.135228,0.014267,0.0033026660
0.066730,-0.111361,-0.036658,0.0018609907
-1.014986,0.489158,0.628717,0.0057665261
-1.667424,0.829649,0.234881,0.0043504124
-0.484123,-0.365029,0.567956,0.0014735063
-1.226236,0.368010,1.165433,0.0062165859
-0.756106,0.985498,0.578723,0.0131237195
-0.646863,0.553293,0.023400,0.0046332734
-1.069319,0.627952,0.217919,0.0078159659
-0.633970,-0.543583,0.802921,0.0059810932
0.290332,0.771068,-0.333237,0.0038999975
1.762470,0.464882,3.104267,0.0069995575
1.184090,-0.458699,0.873694,0.0097459378
1.669085,-0.896875,0.091709,0.0028597393
-0.857400,-0.136688,2.153719,0.0081799408
0.825686,-0.341503,1.058231,0.0048683892
0.751187,-0.233777,1.256212,0.0024485352
1.478833,-0.192495,1.669480,0.0044421073
-1.369808,-0.702256,2.251134,0.0087617664
1.954133,0.028168,2.731670,0.0112636605
1.051722,-0.291825,1.434457,0.0089558122
1.541783,0.339500,2.547806,0.0031376410
-0.131029,-0.266552,-0.200129,0.0027276605
-1.355359,0.218936,1.908573,0.0055250711
-1.976176,-0.563096,2.739764,0.0083953476
0.390690,-0.434333,-0.209180,0.0034881154
1.425477,-0.947851,0.630096,0.0059869485
1.906852,0.854652,4.552458,0.0032164252
-0.045054,0.893162,-0.548347,0.0065453789
0.458938,-0.045837,0.848382,0.0037596990
-0.227691,0.599716,-0.788023,0.0083558032
0.651262,-0.831765,0.151254,0.0073567751
-1.145697,-0.499867,2.032223,0.0060017893
1.285771,0.295266,2.276687,0.0017059864
-1.885945,-0.618748,2.542680,0.0034262466
-1.471841,-0.878375,2.992949,0.0110837202
1.731403,0.268415,2.772436,0.0060850728
-0.392982,0.091308,0.573823,0.0024963337
1.002045,0.735844,1.783219,0.0065404661
