W,tauint,error
0.000000,0.500000,0.000000
1.000000,1.373004,0.015841
2.000000,2.151669,0.035107
3.000000,2.853873,0.057029
4.000000,3.492773,0.080594
5.000000,4.076135,0.105156
6.000000,4.608975,0.130251
7.000000,5.095343,0.155533
8.000000,5.542018,0.180848
9.000000,5.954368,0.206090
10.000000,6.334450,0.231105
11.000000,6.683820,0.255754
12.000000,7.007702,0.280070
13.000000,7.308825,0.304032
14.000000,7.587737,0.327549
15.000000,7.846638,0.350614
16.000000,8.086404,0.373178
17.000000,8.308802,0.395242
18.000000,8.515983,0.416842
19.000000,8.707658,0.437904
20.000000,8.885726,0.458467
21.000000,9.049881,0.478468
22.000000,9.201748,0.497946
23.000000,9.339905,0.516781
24.000000,9.466804,0.535069
25.000000,9.585436,0.552946
26.000000,9.698817,0.570566
27.000000,9.807343,0.587941
28.000000,9.910587,0.605033
29.000000,10.008066,0.621799
30.000000,10.101568,0.638337
31.000000,10.191259,0.654650
32.000000,10.275461,0.670620
33.000000,10.355385,0.686315
34.000000,10.432460,0.701822
35.000000,10.507354,0.717180
36.000000,10.580780,0.732436
37.000000,10.653499,0.747642
38.000000,10.725451,0.762795
39.000000,10.795839,0.777838
40.000000,10.863174,0.792661
41.000000,10.927633,0.807270
42.000000,10.991156,0.821805
43.000000,11.053817,0.836271
44.000000,11.115102,0.850629
45.000000,11.176167,0.864967
46.000000,11.233974,0.879049
47.000000,11.288290,0.892848
48.000000,11.340011,0.906431
49.000000,11.390322,0.919887
50.000000,11.437819,0.933101
51.000000,11.481347,0.945972
52.000000,11.517844,0.958238
53.000000,11.548941,0.970020
54.000000,11.577477,0.981548
55.000000,11.603935,0.992858
56.000000,11.625769,1.003728
57.000000,11.644182,1.014255
58.000000,11.660376,1.024536
59.000000,11.675077,1.034633
60.000000,11.688362,1.044551
61.000000,11.700829,1.054343
62.000000,11.713252,1.064079
63.000000,11.723569,1.073571
64.000000,11.730803,1.082725
65.000000,11.735538,1.091592
66.000000,11.737021,1.100095
67.000000,11.735263,1.108232
68.000000,11.730713,1.116039
69.000000,11.723703,1.123543
70.000000,11.713603,1.130681
71.000000,11.700642,1.137469
72.000000,11.686543,1.144071
73.000000,11.670584,1.150415
74.000000,11.651675,1.156391
75.000000,11.630225,1.162035
76.000000,11.604791,1.167198
77.000000,11.578086,1.172149
78.000000,11.549598,1.176833
79.000000,11.518826,1.181197
80.000000,11.483977,1.185053
81.000000,11.447947,1.188696
82.000000,11.411122,1.192163
83.000000,11.373714,1.195479
84.000000,11.336529,1.198727
85.000000,11.299670,1.201921
86.000000,11.261167,1.204851
87.000000,11.222727,1.207699
88.000000,11.184964,1.210533
89.000000,11.147973,1.213365
90.000000,11.108528,1.215845
91.000000,11.067396,1.218054
92.000000,11.026077,1.220156
93.000000,10.985186,1.222220
94.000000,10.945446,1.224328
95.000000,10.906851,1.226483
96.000000,10.866435,1.228353
97.000000,10.826584,1.230206
98.000000,10.788143,1.232141
99.000000,10.751220,1.234172
100.000000,10.714156,1.236114
101.000000,10.678547,1.238150
102.000000,10.644242,1.240267
103.000000,10.611071,1.242448
104.000000,10.579104,1.244704
105.000000,10.549717,1.247200
106.000000,10.524147,1.250087
107.000000,10.502251,1.253357
108.000000,10.482732,1.256860
109.000000,10.465933,1.260642
110.000000,10.451635,1.264681
111.000000,10.440524,1.269066
112.000000,10.431571,1.273677
113.000000,10.423476,1.278358
114.000000,10.415009,1.282958
115.000000,10.406502,1.287521
116.000000,10.395404,1.291727
117.000000,10.383722,1.295825
118.000000,10.370495,1.299694
119.000000,10.354479,1.303174
120.000000,10.335657,1.306259
121.000000,10.316680,1.309282
122.000000,10.297555,1.312244
123.000000,10.277674,1.315067
124.000000,10.256459,1.317677
125.000000,10.235672,1.320298
126.000000,10.215371,1.322939
127.000000,10.196321,1.325702
128.000000,10.175958,1.328253
129.000000,10.155670,1.330773
130.000000,10.136416,1.333388
131.000000,10.119384,1.336258
132.000000,10.103059,1.339184
133.000000,10.088798,1.342350
134.000000,10.076388,1.345730
135.000000,10.066179,1.349373
136.000000,10.059293,1.353435
137.000000,10.055153,1.357843
138.000000,10.053960,1.362628
139.000000,10.056226,1.367864
140.000000,10.060234,1.373323
141.000000,10.067044,1.379152
142.000000,10.075059,1.385136
143.000000,10.084802,1.391348
144.000000,10.095808,1.397729
145.000000,10.108022,1.404270
146.000000,10.119971,1.410770
147.000000,10.133703,1.417514
148.000000,10.148726,1.424436
149.000000,10.164105,1.431406
150.000000,10.177231,1.438056
151.000000,10.190187,1.444678
152.000000,10.203438,1.451339
153.000000,10.217559,1.458120
154.000000,10.230932,1.464792
155.000000,10.244248,1.471453
156.000000,10.258396,1.478231
