likelihood_sigma,sigma
4.9790198869e-23,28.2671303691
1.8926718838e-23,3.7820588686
1.0399077411e-21,4.9409628163
5.7639782576e-21,5.9557656899
2.8827409622e-23,3.8685838851
6.9594428856e-24,34.7172407090
7.6083071305e-31,2.1495120425
9.5651890799e-23,4.1487327048
1.5668256796e-20,11.7239812564
1.2145826740e-26,2.7978461231
3.7951184963e-31,146.3373795867
1.8519656528e-20,7.5945335899
4.5464293244e-21,15.5539428190
4.9409877731e-21,5.8319657513
1.8820304991e-34,1.8129812804
4.5658599837e-22,4.6187945297
3.7969634669e-25,3.1670074691
2.5988497331e-22,4.4318664742
5.4169673783e-28,2.5429012975
2.8013341229e-29,2.3461574982
1.4567992957e-21,5.0951175749
1.0454030275e-26,63.2403440361
1.9189697822e-20,10.8475604100
1.1563956461e-20,6.6941920611
1.5578012698e-25,3.0600961432
1.1108224342e-20,12.9266620683
2.3258953805e-27,2.6550668131
8.8514189506e-30,2.2788887914
5.8743976306e-32,2.0312748463
3.2791155280e-25,3.1487652423
3.7063827815e-29,2.3632154376
2.1735658505e-20,10.1118480835
6.8962762177e-22,20.6723573091
1.1706790636e-27,2.6007717149
2.7093312591e-35,1.7506753066
1.8897503483e-22,4.3356186323
1.0720810239e-30,2.1665657130
8.5439727614e-26,2.9929537615
1.2574475082e-20,12.5166562018
5.9340116730e-23,4.0306033068
6.4253953295e-22,4.7444295076
6.3184477936e-34,1.8545190863
3.6844727523e-34,1.8357590092
2.3281738428e-20,9.3330497727
1.7344385294e-24,39.7869016186
1.2992476647e-22,25.3835111945
1.2564730303e-23,3.7026725863
3.6695743402e-25,3.1627379217
2.5496815546e-25,47.6146912263
1.7519084008e-22,4.3136247108
8.3533756416e-21,13.8106743657
1.4708191677e-29,2.3079763908
5.1915520772e-24,35.7482251468
2.3313139908e-20,8.9027658843
2.7343209277e-24,3.4421347500
3.8578625531e-24,3.4966856263
1.0601784808e-25,3.0166502582
1.6259785397e-20,11.5781724861
1.2191155054e-25,3.0322410551
9.8500912910e-21,6.4881791036
2.0608873073e-27,2.6453020484
9.6811488262e-25,42.0592889033
3.1143322298e-22,22.8751609710
2.0420231790e-20,7.9191681534
1.0378460655e-22,4.1699183443
1.9190294217e-28,2.4696412548
1.1710200896e-20,6.7116751280
1.1959682111e-20,12.6848514470
1.2697405650e-23,32.6619309833
1.3904915066e-23,3.7218920293
4.5359310332e-26,55.6188035030
8.6721270135e-27,2.7672418182
3.0601532788e-22,4.4837280207
2.8833707574e-33,214.2384153377
7.3514294745e-36,1.7113667203
3.0424215541e-30,2.2204181922
1.0294649947e-20,13.1693583923
4.2025142135e-25,45.4735774235
3.7106754968e-32,175.6540976088
3.5490693897e-22,4.5323668381
5.3112290283e-21,5.8887887905
9.9185309479e-28,2.5880582484
3.6267994551e-27,2.6916871532
1.9301420456e-21,17.8860620512
8.1043370800e-26,2.9872232833
2.3350772430e-21,5.3402308813
1.0697266402e-24,3.3039929308
9.7040525602e-24,3.6548607034
6.1671611945e-34,1.8536668430
5.7029356253e-27,2.7302816468
1.1400101436e-20,12.8424914013
1.4993122814e-25,3.0557056586
5.9451635218e-25,3.2244975428
7.5323353336e-21,6.1980400958
3.6828218227e-35,1.7602221838
3.4317483318e-22,22.6027060680
9.2017079711e-24,3.6452271318
1.7039458135e-27,2.6301232359
2.6273153031e-23,3.8490412138
8.7021245023e-33,1.9523107135
2.1473123017e-20,10.1994091425
6.1366409585e-23,27.6255993262
1.3177588772e-20,6.8877252756
2.7485847239e-30,2.2150379010
8.4440294645e-21,6.3147065692
1.3049796937e-32,1.9684779121
6.0822200023e-23,27.6527814259
7.8670740640e-23,26.8729892134
4.2580319529e-33,1.9245153659
1.2187265181e-20,6.7687314847
2.2180671708e-23,3.8140599150
6.7336735475e-26,2.9673386438
7.3601905668e-34,1.8599062156
2.1355126154e-20,10.2373559990
4.2015244701e-36,1.6951037132
9.3562217330e-22,19.8415365987
2.2105751325e-20,8.3128395866
2.0310803102e-33,1.8966580893
1.9876261298e-26,59.8047426043
4.1273705388e-27,2.7025759831
1.3852095166e-23,32.3708759578
4.7567384700e-22,21.6937737850
8.8652903849e-22,19.9878826971
3.2758168694e-32,2.0063595324
1.7052108171e-20,7.3813758247
3.2567207999e-35,1.7563842578
4.6914226649e-22,21.7320413821
5.1664475948e-34,1.8474673024
8.0553336017e-31,2.1523296042
1.0274888267e-20,6.5395857961
1.7304491688e-35,1.7369389348
5.7167882214e-25,44.1916049871
1.9594566873e-20,10.7415018862
5.8655988413e-21,14.8394041808
2.8269726431e-21,16.8549988202
1.0963546334e-22,25.8832196842
4.1441685567e-29,2.3700996524
3.4824122190e-21,16.2875678833
4.2951548261e-22,4.5973700985
7.1915214037e-27,2.7505834928
1.8594983761e-22,24.3423268618
1.4714127838e-31,157.6804450350
6.7696501828e-25,3.2416508749
4.3270776007e-28,82.8363740656
1.6614514474e-24,3.3669818816
6.3599920617e-34,1.8547496997
1.3766049227e-40,770.0309539036
2.4960524672e-26,2.8661572187
4.0679340072e-22,4.5785679091
4.6707610481e-29,2.3775281303
2.1590842409e-20,10.1607205993
1.9388062457e-21,17.8739884231
1.7292990772e-20,7.4148853732
3.6098496905e-25,3.1606900885
4.8264877208e-23,3.9823369770
1.3863225464e-25,3.0467655833
1.6256267329e-21,5.1487433878
9.6969738939e-34,1.8697294067
1.7173327432e-22,4.3078899131
1.0618693410e-24,3.3029639706
9.8315392228e-31,2.1622303282
2.9412881451e-23,3.8728548871
3.2979546981e-35,1.7567761116
9.7917972495e-33,1.9569866535
4.1413488090e-21,5.7013524247
2.2569413882e-23,30.7674199096
1.8995023371e-21,5.2282062838
2.8103942078e-23,3.8632031833
3.1746794729e-23,29.6747976056
1.3401555772e-20,12.2973022803
3.3785513631e-24,37.2957177252
1.0136858829e-20,13.2179547007
2.3383601099e-20,9.1290019513
1.0067549332e-23,3.6615654068
1.7270843720e-28,89.3842450920
1.9432607570e-25,48.8101545145
3.8682179895e-23,3.9323685866
1.0920796279e-20,6.6172281954
2.3644626000e-29,2.3359668480
2.1462020645e-21,5.2934881075
1.0987127373e-20,6.6251765986
4.0401136433e-23,3.9420477119
7.3147650530e-22,4.7949315827
8.6293890414e-21,13.7129472323
1.6047189585e-27,2.6253782505
1.9713383058e-33,220.6297102246
4.6758739807e-22,4.6272227412
2.9647375847e-24,3.4547555275
2.8047578876e-27,2.6703516593
4.2248909370e-23,28.7765807590
5.9614355219e-27,2.7341340277
9.4833845228e-27,2.7752863350
1.3889746773e-20,6.9742532348
3.0231315163e-22,22.9588155769
1.9891445675e-23,3.7920084354
2.1291915237e-24,3.4038619636
2.2885987498e-20,8.5995333082
5.4595251095e-27,2.7265038959
1.0558150947e-32,1.9599865593
7.6706313535e-27,2.7562948292
5.0363189121e-22,4.6538130434
2.5547661507e-22,23.4346186492
3.1776427444e-21,5.5239625801
1.2852022494e-35,324.5694917293
9.1849019722e-23,26.4089271011
1.4348130235e-21,5.0878241277
2.0709927426e-20,10.4331916108
1.5659206963e-20,11.7262184967
4.5004191627e-31,144.3795627167
2.2206909548e-20,9.9401795824
1.4062636496e-21,18.7396063476
1.7237462467e-24,39.8105319862
2.3188465216e-20,8.7804782635
5.4123575388e-22,4.6800475850
1.1005873651e-20,12.9565192237
1.2618017848e-20,12.5049220697
1.9914844503e-25,48.7013228988
1.9664543093e-20,7.7809846210
1.6913549279e-21,5.1685913124
6.4287452232e-22,4.7446292682
4.0769488679e-21,5.6902731056
1.0206743250e-21,19.6056351515
3.0835688944e-29,2.3519736054
1.4891133988e-30,2.1832014504
2.6142778765e-21,5.4050987893
1.2046628144e-25,3.0309021273
1.1161816334e-21,4.9720848045
1.4101033446e-27,2.6152232300
1.8620019506e-28,2.4675862328
5.1014824286e-30,2.2482764375
4.3167551135e-22,21.9628083924
1.0825691403e-25,51.4640235715
2.4495256021e-21,5.3673842998
4.9388789740e-31,2.1284606631
1.3327609941e-26,61.9231632485
4.5190005905e-33,1.9267942767
2.2356044561e-20,9.8804327850
1.0794883683e-20,6.6021297936
6.7130772359e-21,6.0889969856
6.0621392570e-21,14.7456372899
6.2088535737e-21,6.0192935242
1.4852979423e-21,18.5921560390
7.5078702669e-21,14.1271982374
5.0629715991e-24,3.5414019600
3.1130669060e-23,3.8849823374
1.9396287462e-27,2.6404395706
2.1567619959e-30,2.2023147184
2.9217628018e-29,103.3715931003
1.0340535472e-27,2.5912398909
9.7022755323e-30,2.2840824693
4.1350529420e-30,2.2368587755
1.2302114117e-30,2.1734957045
2.1160959766e-22,4.3690867725
6.6046452953e-21,6.0741931583
2.3371549547e-20,9.1821166053
2.1976239800e-29,2.3316006512
2.3268246224e-26,2.8593190475
7.9826499520e-23,4.1028453449
2.6717402357e-24,3.4385450978
1.6527187519e-20,11.5124353386
1.1306181552e-35,1.7241191815
1.0245809374e-23,3.6647770584
1.9613140854e-20,7.7720934860
3.2197165963e-26,57.3276994517
2.3529736197e-41,878.9678672856
8.1566188679e-22,4.8386889892
1.5150934505e-21,18.5386090428
2.0237548386e-31,2.0864607559
8.1736922035e-29,2.4130218414
2.0541538601e-28,2.4742914454
3.6998775247e-24,36.9647710239
1.3657326508e-25,3.0450656578
2.7131759820e-21,16.9663606619
3.1442285927e-28,2.5038635837
1.7312473741e-21,18.1791639928
1.8748127220e-23,3.7801695009
2.2769075982e-25,3.1045143802
1.0503571901e-26,63.2144809059
1.1332203776e-23,33.0447208726
6.1926878014e-21,14.6848269153
2.7048323492e-28,86.1311605500
2.4759841322e-23,3.8366859208
5.2605956992e-23,4.0022628870
2.2973486701e-20,9.5785616762
2.1033061521e-25,3.0950991944
1.7006443427e-35,1.7364114559
6.3315322383e-23,27.5303022507
1.2833745493e-20,6.8462795649
1.3220267202e-29,2.3017955602
1.7062309584e-22,4.3060287958
2.7790572923e-22,23.1963270133
2.9802594667e-22,4.4752092716
2.1738328167e-20,8.2111596926
