tauint,rho,drho
0.000000,1.000000,0.000000
1.000000,0.680674,0.004910
2.000000,0.502194,0.007307
3.000000,0.380046,0.008795
4.000000,0.311046,0.009458
5.000000,0.259691,0.009842
6.000000,0.224379,0.010103
7.000000,0.191988,0.010336
8.000000,0.159705,0.010517
9.000000,0.135905,0.010616
10.000000,0.107280,0.010748
11.000000,0.091562,0.010781
12.000000,0.088597,0.010745
13.000000,0.086965,0.010695
14.000000,0.076236,0.010676
15.000000,0.064401,0.010658
16.000000,0.057935,0.010635
17.000000,0.048986,0.010587
18.000000,0.041505,0.010529
19.000000,0.037801,0.010476
20.000000,0.035556,0.010454
21.000000,0.031572,0.010445
22.000000,0.027929,0.010473
23.000000,0.026119,0.010521
24.000000,0.027724,0.010560
25.000000,0.026244,0.010588
26.000000,0.022609,0.010621
27.000000,0.020119,0.010647
28.000000,0.016215,0.010647
29.000000,0.010446,0.010635
30.000000,0.006046,0.010619
31.000000,0.013127,0.010616
32.000000,0.012529,0.010623
33.000000,0.004940,0.010647
34.000000,0.002952,0.010662
35.000000,-0.001137,0.010671
36.000000,-0.005244,0.010676
37.000000,-0.010583,0.010680
38.000000,-0.012492,0.010681
39.000000,-0.010129,0.010682
40.000000,-0.011429,0.010683
41.000000,-0.011479,0.010683
42.000000,-0.016487,0.010682
43.000000,-0.014029,0.010683
44.000000,-0.012181,0.010683
45.000000,-0.007509,0.010685
46.000000,-0.005541,0.010686
47.000000,-0.004019,0.010687
48.000000,-0.001656,0.010687
49.000000,0.003950,0.010688
50.000000,-0.001701,0.010688
51.000000,-0.005452,0.010687
52.000000,0.001425,0.010688
53.000000,0.005590,0.010688
54.000000,0.003360,0.010688
55.000000,0.006364,0.010688
56.000000,0.001239,0.010688
57.000000,-0.000440,0.010688
58.000000,-0.000562,0.010688
59.000000,-0.003857,0.010687
60.000000,-0.007532,0.010687
61.000000,-0.004355,0.010687
62.000000,-0.003537,0.010687
63.000000,-0.004560,0.010687
64.000000,-0.004505,0.010687
65.000000,-0.003131,0.010687
66.000000,-0.000658,0.010688
