tauint,rho,drho
0.000000,1.000000,0.000000
1.000000,0.460988,0.005273
2.000000,0.227435,0.006748
3.000000,0.118093,0.007180
4.000000,0.078004,0.007263
5.000000,0.047139,0.007304
6.000000,0.031696,0.007307
7.000000,0.018609,0.007344
8.000000,0.018170,0.007335
9.000000,0.014605,0.007336
10.000000,0.009719,0.007263
11.000000,0.009144,0.007269
12.000000,0.005134,0.007308
13.000000,0.005606,0.007319
14.000000,0.010515,0.007262
15.000000,0.010204,0.007250
16.000000,0.006073,0.007247
17.000000,0.009120,0.007245
18.000000,0.012154,0.007244
19.000000,0.002950,0.007245
20.000000,-0.001228,0.007245
21.000000,-0.005963,0.007245
22.000000,0.002352,0.007245
23.000000,0.001770,0.007245
24.000000,0.005321,0.007244
25.000000,0.009883,0.007243
26.000000,0.009977,0.007243
