likelihood_theta2,theta2
2.1915947213e-23,0.6314865773
2.1116157326e-26,0.2504536778
2.4637228574e-22,1.2477303750
4.0881678999e-22,1.0601140951
3.9364642198e-22,1.1254585471
8.8677984535e-31,2.0858313644
1.0573571658e-22,0.7783136655
2.4498930219e-27,0.1750693698
1.7128597617e-25,0.3391299299
9.0388892431e-34,2.2441842074
4.7352077531e-45,2.7302161237
8.8934213159e-58,3.1969241839
7.3038714729e-36,2.3445684647
2.4933623469e-26,0.2568751922
4.8073198892e-28,0.1258515514
8.2509233000e-30,0.0308567568
2.3121137547e-23,0.6357558387
2.4602036130e-22,0.8955001525
1.1453155099e-25,0.3206876222
1.5783175137e-23,0.6060672863
2.6132478840e-23,0.6456613183
6.4762674472e-33,2.2009811647
3.7155437049e-41,2.5748175075
5.2271203636e-26,0.2867121932
2.4591763523e-23,0.6407197825
2.2458399812e-51,2.9676864431
1.1748083220e-30,0.0067721572
2.0667914150e-23,0.6268522043
6.9522075101e-28,0.1365062816
3.6071353600e-22,1.1629897679
1.6183585868e-26,0.2403731015
1.2083779656e-27,0.1530024009
1.3781486288e-24,0.4468851981
5.4596030571e-30,0.0244042118
2.5305901698e-26,0.2574526517
2.5560194823e-25,1.7021245735
6.2801004889e-25,0.4037217865
1.8226625498e-23,0.6170578710
1.2100196323e-25,1.7316883000
3.5980648144e-22,1.1638300343
9.0003929409e-23,0.7605037233
3.2186785702e-27,0.1839055984
2.2456495630e-25,0.3519434349
9.8423082485e-26,0.3139234299
2.9740872196e-22,1.2128794391
4.8000365089e-24,0.5228297239
2.3252471102e-23,0.6362097189
1.0311357806e-29,0.0346361787
1.0536405354e-27,1.8931249566
2.7008410812e-25,0.3608668455
1.8496461961e-26,0.2454043770
8.3369441769e-23,1.3755610338
5.3427206119e-23,0.7081665962
2.6519801042e-25,1.7006279991
1.8839103981e-23,0.6196149697
1.9395266699e-24,0.4667164565
4.0597805118e-22,1.1010710245
5.0718102322e-25,0.3925409780
1.5112517289e-22,0.8217421343
1.3789845938e-22,0.8099926575
9.0763281426e-26,0.3103476250
7.9260784239e-43,2.6426008691
4.0988915552e-22,1.0842769394
2.5987255370e-22,0.9056167139
2.9723063471e-22,0.9332335412
8.3878888398e-23,0.7529896753
5.2116506335e-26,0.2865885481
5.7675630904e-24,0.5348921523
4.2086366831e-23,0.6863238082
1.7205521061e-28,0.0976588763
2.0570407451e-25,1.7108654227
3.5795552271e-22,0.9834518372
3.8887459955e-25,1.6848462556
4.5661666639e-27,1.8470632869
3.1323838637e-27,0.1830174578
4.7259181393e-24,0.5218189871
2.4708397628e-56,3.1459046449
2.5802989017e-22,0.9042708988
1.1316867789e-49,2.9051217002
1.2084748440e-27,0.1530048404
4.0400884539e-23,0.6826904118
3.2908090066e-22,0.9581566645
5.8512786259e-25,0.3999958576
3.3203631138e-68,3.5585887690
1.6705092237e-24,1.6201313920
1.1193335387e-25,0.3196573216
1.5320545937e-22,1.3130525843
8.3914946597e-24,1.5367460832
4.2828015116e-25,0.3838540220
1.7117463493e-25,0.3390995614
4.0430949449e-22,1.0452660713
3.2766608302e-26,0.2676478791
4.1384620465e-27,0.1922093873
1.6756819069e-22,0.8356165855
2.7947538435e-27,0.1793103606
3.0922943490e-22,1.2044267860
3.2697892700e-24,0.4983954842
1.5697776228e-28,0.0952519291
1.7445296184e-25,0.3399863360
5.5577492203e-29,0.0694125416
1.5260310891e-24,1.6243930107
2.5340984512e-24,1.6000047305
3.8107157491e-23,1.4394731813
7.8346447671e-26,0.3039248312
3.7993676013e-22,1.1433027624
5.8011007502e-29,0.0704228812
3.5318724938e-23,0.6709437926
2.3383484735e-22,1.2561531743
2.2348112078e-27,0.1721351831
2.1164800236e-22,0.8701020422
5.4250686855e-30,0.0243106699
4.0395796430e-27,0.1914033229
1.8958199329e-24,0.4653723718
4.0930685898e-22,1.0882596764
1.1846348159e-26,0.2288534545
5.8567907174e-23,1.4060651008
1.0828243339e-22,0.7810268203
3.1625463259e-24,0.4963205855
1.9241337832e-39,2.5031696029
2.7508418821e-25,1.6991378886
3.8452774685e-22,1.1378432299
1.3930013266e-22,0.8112666600
1.6653250987e-23,0.6101374134
9.8548262467e-25,0.4280632902
7.1850916230e-28,1.9047096718
1.2202715409e-27,0.1533005526
2.0621263901e-23,0.6266744493
5.5726775572e-25,0.3974404873
7.0891350887e-26,0.2996102916
2.0795353255e-24,0.4708460663
3.9445170015e-28,0.1202534580
4.0756748354e-25,1.6828795859
2.5065091144e-22,1.2448564627
1.7612616320e-22,0.8425768939
2.7475146153e-22,1.2285698335
4.9097625994e-26,1.7655235881
5.7957123866e-26,0.2910414935
7.7584225782e-23,0.7448512043
5.1511725369e-26,0.2861019525
4.1039576782e-22,1.0770386463
1.5841638704e-22,1.3090897581
1.4157593934e-42,2.6324972706
2.5817733638e-22,1.2397938676
3.6838484908e-22,1.1556116593
6.3372692706e-23,0.7245304404
5.9868466482e-25,0.4011997416
3.2862526425e-35,2.3139604741
3.8786399338e-30,0.0196094689
3.5004234766e-23,0.6701730044
3.7157875677e-29,0.0601911020
3.0027808915e-22,1.2108484079
4.1032999291e-22,1.0720245942
1.7317423847e-25,1.7177012362
1.0383369695e-22,0.7762592530
1.0571809959e-22,1.3529814012
8.3514744827e-30,0.0310568183
1.7807859343e-29,0.0447587123
6.3526393137e-29,0.0725814540
1.8319091094e-25,0.3422782810
9.1140110487e-25,0.4237651461
6.8282908971e-30,0.0278106546
2.6898151914e-28,0.1096473918
