likelihood_theta2,theta2
1.2589618306e-22,0.2298954028
2.4214150256e-22,0.7167557545
6.6029178542e-25,0.0725973746
3.6898527751e-25,0.0624924385
4.0806126692e-25,0.0641858441
1.0900216985e-21,0.4016702553
9.0260692678e-24,0.1314351121
1.4820830686e-22,0.2381841748
1.2284532396e-21,0.5442527345
1.2593119035e-21,0.5378200450
1.8028839091e-22,0.2486450962
3.4252686523e-25,0.0612541354
8.3382117415e-25,0.0768830236
5.2652312624e-23,0.1909089311
7.8531854880e-23,0.2077853619
6.4216375301e-23,0.1990971880
1.0997049292e-21,0.5671754718
2.0324236256e-23,0.1561808455
8.3300669157e-23,0.2104091699
2.4337597915e-23,0.1622374704
1.0687342704e-32,2.0565668848
2.4147497522e-23,0.1619692720
3.4066210430e-22,0.2874025039
1.1436179859e-23,0.8896444498
1.1370616254e-23,0.1380806757
1.2023098434e-23,0.1397313464
2.0782886212e-22,0.2566180419
1.6391939200e-23,0.1492360202
1.8395779097e-24,0.0926074898
2.0917708771e-23,0.8593345648
1.3633968228e-23,0.1435173586
8.1210249818e-23,0.2092734922
3.0771297535e-24,0.1039831132
7.1328873153e-24,0.1249548839
7.3157166319e-24,0.1256378701
1.2095520054e-22,0.2279158142
8.7876177761e-23,0.7813027273
2.3215753651e-23,0.1606299088
9.3883162777e-28,1.3409096481
2.0786581011e-25,0.0532096659
3.0452008369e-24,0.1037423136
2.9810844649e-22,0.7017622570
2.9664214274e-22,0.2782361788
1.0479045545e-22,0.2209883107
1.2392578216e-22,0.2291129669
4.9540765768e-24,0.1154668848
5.7821766973e-23,0.1947257177
1.1167759815e-21,0.5643701665
1.4540903926e-22,0.2371965150
6.4936402665e-23,0.1995680432
4.5281564951e-24,0.1132230716
5.8569455616e-22,0.3291457346
1.5217903183e-25,0.0483903612
3.9609956637e-30,1.6599666754
5.8354147532e-25,0.0703850115
2.3099315507e-23,0.1604595383
1.6153442380e-22,0.2427094139
1.7755133949e-23,0.1517813536
2.6787327224e-22,0.2717699849
7.8657044434e-24,0.1276120964
7.6961183139e-25,0.0753948344
2.2400982016e-23,0.1594231441
1.1879934898e-21,0.5519894470
3.3717502772e-24,0.1061130190
7.5956152259e-23,0.2063172900
1.0297668077e-21,0.3925209317
1.6182776486e-23,0.1488305936
4.0959535932e-23,0.1810555950
8.5322110057e-24,0.1298597569
3.6108150991e-42,3.3210644472
4.7798841196e-22,0.3121825328
1.6469622904e-23,0.1493855411
7.8296753586e-25,0.0757128828
7.2995835793e-22,0.6228806812
1.0463739657e-27,1.3352011119
2.1975069176e-24,0.0964263592
1.5544434776e-23,0.8743706508
3.5675280331e-24,0.1074450528
1.4243901704e-22,0.2361333909
5.9066373856e-24,0.1199647461
1.8625024196e-31,1.8618456284
3.5460649234e-23,0.1756362951
1.2303691689e-21,0.4258486246
1.3761883774e-21,0.5005278232
3.1635688227e-23,0.1714616500
1.1559319110e-23,0.1385657474
3.6571849508e-22,0.2922992566
3.3242388326e-23,0.1732612800
1.3014064041e-24,0.0854872625
2.2646860741e-22,0.2616067879
1.2406295121e-22,0.2291677321
1.0307116736e-23,0.1352185481
3.6313181871e-23,0.1765179541
1.3696700259e-21,0.4647684862
4.1352511004e-24,0.1109943322
3.6957909973e-23,0.1771739446
3.3819709710e-24,0.1061841127
1.9121107309e-24,0.0934284998
8.2649184523e-23,0.2100575826
5.4744071594e-24,0.1180033298
6.1792717431e-36,2.5427271033
7.9501119841e-23,0.2083282966
2.0248667816e-23,0.1560579670
1.7228018816e-23,0.1508163358
1.4318846344e-23,0.1450185775
1.0020103113e-21,0.3884412836
9.1263344988e-38,2.7915175698
3.9113266436e-22,0.2970681951
4.6087470662e-23,0.1856165247
8.4772260712e-22,0.3665879347
2.2704522670e-23,0.1598767451
2.8267477368e-24,0.1020364648
1.2689862457e-22,0.2302900064
5.8145254917e-24,0.1195568071
1.5688894927e-23,0.1478563459
4.0405270357e-22,0.2994246833
5.6075670036e-26,1.1384991943
1.2951719126e-21,0.4399662135
9.3365447950e-22,0.3786369226
6.5637058611e-25,0.0724898485
2.3179442266e-25,0.0549277374
1.9170545544e-22,0.2520471027
9.5133085836e-22,0.3811460371
3.5433498671e-23,0.8318665103
1.9188045173e-24,0.0935029528
1.8487857491e-22,0.2500305842
5.1227906117e-24,0.1163122132
