var,F_est,F_error,F_error_error,tauint,tauint_error,wopt
beta,1.5779294247,0.0015241053,0.0000152646,0.5189467128,0.0095934474,3.0000000000
sigma,1.8226018331,0.0150289943,0.0001505224,0.5176388301,0.0095713683,3.0000000000
theta1,0.3003655460,0.0018267601,0.0000182959,0.5164100742,0.0095506149,3.0000000000
theta2,0.3390920010,0.0038971037,0.0000390313,0.5065261473,0.0093833230,3.0000000000
