likelihood_beta,beta
6.1696816792e-22,1.3767965398
6.8778032778e-22,1.4403122476
6.4687685110e-22,1.4024058916
7.9557468834e-22,1.6804972039
7.8684956962e-22,1.5775445313
7.9660590341e-22,1.6122149626
7.3410767187e-22,1.4905771890
7.0118375209e-22,1.8336921177
7.9854696434e-22,1.6257170945
7.1340311811e-22,1.4667503269
5.9527422411e-22,1.3589568419
7.6127507234e-22,1.5276926764
7.3549820845e-22,1.4922853662
6.9776018882e-22,1.4502931703
7.4697858364e-22,1.7804296105
5.7702615356e-22,1.9431927452
7.9667765374e-22,1.6126101431
7.2139252283e-22,1.4756236218
7.4666925245e-22,1.5066500665
5.9781822680e-22,1.3610231478
7.3898223410e-22,1.7908579929
6.8284022498e-22,1.4354973966
7.5093111179e-22,1.5124819521
7.9843170599e-22,1.6628475752
7.0150625471e-22,1.4541367068
6.7687176943e-22,1.4297798593
6.8052583426e-22,1.4332678403
7.6775156245e-22,1.5382047725
7.6292827461e-22,1.5302916837
6.8589261165e-22,1.4384631671
6.9164199075e-22,1.4441320971
6.5541150451e-22,1.4099921999
7.0877167098e-22,1.4617612702
7.4489847043e-22,1.5042892241
6.2204770077e-22,1.3810534280
7.9065936176e-22,1.6990171220
6.5375856788e-22,1.4085116486
6.5702893987e-22,1.4114464424
7.9367397715e-22,1.6885613834
7.6169488564e-22,1.5283476533
6.7438670765e-22,1.4274293072
3.9320805897e-25,3.0910271523
7.3717211413e-22,1.4943631871
5.8689017582e-22,1.9353063035
6.5005065794e-22,1.4052104337
7.9786585993e-22,1.6200889103
7.1256426095e-22,1.4658387512
7.6765600101e-22,1.5380427428
7.8468911479e-22,1.7154341418
7.3356739355e-22,1.7975779390
7.8941371705e-22,1.7028092472
7.7775616670e-22,1.5566890595
7.0311382718e-22,1.4558037998
6.9258009426e-22,1.4450678642
6.7071546568e-22,1.4239872201
7.4370009822e-22,1.5027108262
6.7776013784e-22,1.4306243197
6.5285612874e-22,1.4077056741
7.9880305385e-22,1.6591406351
6.5384580619e-22,1.4085896491
6.2256413583e-22,1.3814881272
6.7376372192e-22,1.4268426884
2.3842816093e-22,2.2205479961
7.6714371852e-22,1.7503176870
6.9190503391e-22,1.4443941698
7.9742234579e-22,1.6704431853
7.4454373185e-22,1.5038204016
6.8898658604e-22,1.4414999867
6.7111152007e-22,1.4243568544
7.9768026821e-22,1.6187735506
6.7880302180e-22,1.4316185276
7.0080385076e-22,1.4534116903
7.8943257091e-22,1.5847420625
7.7110822200e-22,1.7434460748
7.8616756548e-22,1.5757675514
6.7089536460e-22,1.4241550682
7.5019324090e-22,1.5114562606
6.9162722850e-22,1.4441173965
7.5191180812e-22,1.5138561420
7.3552720024e-22,1.4923211510
7.9240991708e-22,1.6932104748
7.3371343407e-22,1.4900957670
6.2972845991e-22,1.3875568181
5.8374333783e-22,1.3496650233
7.5224330834e-22,1.5143235436
7.5506420147e-22,1.5183627705
7.9882366768e-22,1.6589083865
7.9647196539e-22,1.6114901286
7.9350920279e-22,1.5983017490
7.7299367393e-22,1.5474763349
7.5845760733e-22,1.5233801601
7.9829342821e-22,1.6640561291
7.2447281136e-22,1.4791449327
7.8344672733e-22,1.5690843329
6.0203089570e-22,1.3644588376
6.7628012674e-22,1.4292186906
7.6293661005e-22,1.5303049243
6.6997730518e-22,1.4232993745
7.3820897383e-22,1.4956624619
7.5359957937e-22,1.5162514960
7.9623949422e-22,1.6102690221
6.8308759528e-22,1.4357366630
6.6298375563e-22,1.4168492521
7.7402977475e-22,1.5494086875
6.4434210411e-22,1.4001794965
7.1082279081e-22,1.8235379990
7.5269416621e-22,1.5149616244
7.7345432778e-22,1.5483309527
7.4825560501e-22,1.5087952257
7.3853387458e-22,1.4960715646
6.6575612436e-22,1.4193920897
7.7371852832e-22,1.5488243449
7.1851424265e-22,1.4723854124
7.7200897639e-22,1.5456727973
6.0225367323e-22,1.3646410292
5.3424183579e-22,1.3108044623
6.7487863553e-22,1.4278932609
4.8903659505e-22,2.0113923426
