likelihood_sigma,sigma
1.1296657531e-21,1.5846855105
3.9358353852e-22,2.1243053208
1.1902641551e-21,1.5084083575
2.5723965185e-23,3.0598025521
1.0567234441e-21,1.6458863844
1.1900422130e-21,1.3986421479
1.2050940129e-21,1.4506730983
8.2627450704e-22,1.8009356600
1.2006723722e-21,1.4229367045
1.2047936392e-21,1.4444457350
1.2049216808e-21,1.4462590229
1.1985126576e-21,1.4893359623
1.1843838988e-21,1.5189804261
8.9002144779e-22,1.7598875622
1.0483792363e-21,1.6521500111
9.1850585682e-22,1.7413906843
1.1737969975e-21,1.3755141936
1.1993863060e-21,1.4867530217
9.5121871429e-22,1.7198650599
2.5136360133e-23,3.0674941966
1.2036154170e-21,1.4351995156
1.1838695484e-21,1.3887984722
1.1316073915e-21,1.5828123148
1.2007033023e-21,1.4230382240
1.1919698694e-21,1.4021326345
1.1942134060e-21,1.5001600616
1.2049887007e-21,1.4572455621
1.1478604959e-21,1.5662757197
1.1903152737e-21,1.3991219838
1.6251752197e-22,2.4426931681
1.1854798418e-21,1.3912055163
1.1848397060e-21,1.3902368686
1.1975096783e-21,1.4921065270
8.6857941219e-22,1.7737215387
1.2018344102e-21,1.4782594095
1.1552723558e-21,1.5581037344
1.1688393443e-21,1.5416688937
1.2040567281e-21,1.4379391625
1.1896083864e-21,1.3978889376
1.1413679895e-21,1.5730824978
1.1242791723e-21,1.5897868007
1.1984561617e-21,1.4164242546
3.2098173545e-25,4.6115903478
1.1973739452e-21,1.4924676883
1.1037242316e-21,1.6081754432
1.1776043010e-21,1.5295778685
1.1729478258e-21,1.5361840046
1.1205100252e-21,1.5932790306
9.4003227245e-22,1.7272693345
9.4728837066e-22,1.7224723901
1.1944761097e-21,1.4070929406
1.1872941965e-21,1.3940432480
1.0459489213e-21,1.6539556317
4.7061250185e-24,3.6344574756
1.2040986022e-21,1.4382272678
1.0316991320e-21,1.6643892596
1.1176788353e-21,1.5958635739
1.1809486680e-21,1.3846617682
1.1699971729e-21,1.5401520415
1.1794763561e-21,1.3826746103
1.0943576213e-21,1.6160969409
1.7396303261e-22,2.4192083431
1.1780892192e-21,1.5288621961
9.3679572948e-22,1.7294024594
1.1935092672e-21,1.4051146608
7.2532493343e-22,1.8666279649
6.2122371770e-22,1.9378781912
1.2050975583e-21,1.4508996728
2.2656501625e-32,14.6641584539
1.0176362332e-21,1.6744585481
1.1649195809e-21,1.3655557734
9.5591122634e-22,1.7167432289
1.3686351336e-22,2.5015319675
4.8803663258e-26,5.3689429612
1.1997066927e-21,1.4199318056
1.1858923133e-21,1.3918383291
1.1745773341e-21,1.3764557567
1.1893263252e-21,1.5102096984
1.1811582085e-21,1.5241917771
1.1997285154e-21,1.4199965222
1.2031348372e-21,1.4326525519
1.2034462031e-21,1.4342608241
1.1704342419e-21,1.5395737738
1.2043409156e-21,1.4648086424
1.2046648481e-21,1.4618056972
1.1976748346e-21,1.4916628981
1.1843232384e-21,1.5190817017
1.1642134421e-21,1.5475294731
6.2983080612e-22,1.9317773987
1.1702411868e-21,1.5398295880
8.9254631448e-22,1.7582544898
1.2012808290e-21,1.4803949536
1.2006559358e-21,1.4826325633
1.1645867550e-21,1.3652057506
4.3712074297e-22,2.0835726992
1.1894503728e-21,1.3976173006
5.5670594732e-25,4.4023487751
4.4916829372e-22,2.0728514500
1.1893865893e-21,1.5100954661
1.2050568110e-21,1.4491509636
1.1871936992e-21,1.5141299968
1.0529727112e-21,1.6487145660
1.2045761401e-21,1.4420804714
4.1059437685e-22,2.1079938887
1.1479844920e-21,1.5661427412
1.1844627008e-21,1.5188486600
1.1797662291e-21,1.3830610902
1.2027721186e-21,1.4309341551
1.5707708248e-22,2.4544027342
1.1920579207e-21,1.4022981827
1.1754620429e-21,1.3775384192
1.1823633601e-21,1.3866310018
1.0896605862e-21,1.6199806211
1.1730340914e-21,1.3746053073
1.1701869407e-21,1.3713082830
1.1948818481e-21,1.4079506358
1.2050814859e-21,1.4546562036
1.1355125052e-21,1.5789850341
1.2042851029e-21,1.4652567432
8.7506935742e-22,1.7695398780
1.1962211780e-21,1.4109136909
1.1958907361e-21,1.4101624252
1.1525714731e-21,1.5611365518
1.1830661167e-21,1.3876327665
1.1869732243e-21,1.3935307256
2.5922781617e-22,2.2788573480
1.1823243831e-21,1.3865759121
1.1769124177e-21,1.3793500696
1.2045449937e-21,1.4417855101
1.2051052343e-21,1.4515964870
2.2872693615e-22,2.3234850995
1.1786761789e-21,1.3816193259
1.2049029838e-21,1.4459617523
1.1668375173e-21,1.3676025933
1.2015095538e-21,1.4795320913
1.2024042935e-21,1.4758680856
1.1998717676e-21,1.4852353668
1.2050506491e-21,1.4489645000
1.2047015306e-21,1.4614041393
1.0672614333e-21,1.6378203159
1.1989754521e-21,1.4879896795
2.5169286926e-23,3.0670584066
1.1433879681e-21,1.5709962545
9.8257137022e-22,1.6987932405
1.2024959553e-21,1.4297152354
5.1538974225e-22,2.0173889037
1.1822460575e-21,1.5224720707
8.4404138604e-22,1.7895086229
1.1268890113e-21,1.5873321292
1.1954936089e-21,1.4971917541
6.4603488651e-23,2.7538306026
1.2032499954e-21,1.4332312293
1.1787868225e-21,1.5278224549
1.1705794081e-21,1.3717542954
1.2045731965e-21,1.4627422801
9.6853292643e-22,1.7082937014
5.2267430176e-22,2.0115991192
1.2050363715e-21,1.4561416465
1.1728858423e-21,1.3744299912
9.6718528390e-22,1.7091997770
1.1650402786e-21,1.3656830765
1.0705663369e-21,1.6352512800
1.1453856722e-21,1.5689056284
1.1983037486e-21,1.4899288162
1.1971759931e-21,1.4131690016
1.2026640972e-21,1.4304490780
1.1972458555e-21,1.4928057500
1.1947522414e-21,1.4989319530
1.0940059565e-21,1.6163896584
1.1498230206e-21,1.5641568910
5.5886401088e-22,1.9835997552
6.2083932311e-22,1.9381517189
1.1917004042e-21,1.4016295250
1.1730882920e-21,1.3746695081
1.1940965349e-21,1.4063056717
1.0912999115e-21,1.6186314699
1.1998966438e-21,1.4204996893
1.2050793247e-21,1.4547483241
5.0685659825e-39,37.3597974531
1.1679720182e-21,1.3688383061
1.1641340268e-21,1.3647320008
6.0196965331e-22,1.9516965248
1.1934984171e-21,1.4050929518
1.1945895140e-21,1.4993059529
7.2387900958e-22,1.8675863735
1.2010472215e-21,1.4241925442
1.1980325265e-21,1.4906856587
1.1947067305e-21,1.4990368294
1.1189335013e-21,1.5947221619
1.0066605580e-21,1.6821828024
1.1064252229e-21,1.6058433260
1.2028736263e-21,1.4314004892
1.1937865268e-21,1.5011127974
1.1884633667e-21,1.3959516610
1.2050503889e-21,1.4557499994
1.1277270985e-21,1.5865372059
9.6927352099e-22,1.7077953498
1.1344023122e-21,1.5800815185
1.2041680592e-21,1.4387188204
1.2049078515e-21,1.4460377862
1.2026567539e-21,1.4304165021
1.0422033696e-21,1.6567228561
1.1132626793e-21,1.5998332972
8.0210344425e-23,2.6816515665
1.1919674509e-21,1.4021280955
1.0220699185e-21,1.6713061120
1.1810256364e-21,1.5243989128
1.0167376959e-21,1.6750950804
1.1428250235e-21,1.5715804042
1.2035898071e-21,1.4699211608
1.1169595624e-21,1.5965151483
5.4647015599e-22,1.9930524332
1.1850300001e-21,1.5178932029
1.1875846783e-21,1.5134281204
1.1875128837e-21,1.3943951783
6.1207086196e-34,18.3905622005
1.1661500174e-21,1.3668629390
5.2345793064e-24,3.5977067588
1.1812846642e-21,1.3851239574
1.1991279590e-21,1.4875354233
1.0884024325e-21,1.6210116238
5.5986100083e-25,4.4002274426
1.1875140521e-21,1.3943970647
1.2024174925e-21,1.4758099250
1.0741467805e-21,1.6324451476
6.8300959729e-22,1.8949901969
1.1774404750e-21,1.3800215793
