W,tauint,error
0.000000,0.500000,0.000000
1.000000,1.069417,0.012892
2.000000,1.456903,0.024837
3.000000,1.729325,0.036107
4.000000,1.936939,0.046699
5.000000,2.095308,0.056480
6.000000,2.239025,0.066114
7.000000,2.336498,0.074520
8.000000,2.413547,0.082292
9.000000,2.463532,0.089092
10.000000,2.488114,0.094848
11.000000,2.499386,0.099928
12.000000,2.509766,0.104805
13.000000,2.518910,0.109482
14.000000,2.533839,0.114288
15.000000,2.548375,0.118978
16.000000,2.572617,0.124049
17.000000,2.597747,0.129116
18.000000,2.618189,0.133905
19.000000,2.630389,0.138215
20.000000,2.637771,0.142204
21.000000,2.641444,0.145918
22.000000,2.650306,0.149853
23.000000,2.659782,0.153769
24.000000,2.674969,0.157973
25.000000,2.681591,0.161630
26.000000,2.692010,0.165471
27.000000,2.696932,0.168931
28.000000,2.707403,0.172699
29.000000,2.713180,0.176131
30.000000,2.723094,0.179797
31.000000,2.734463,0.183532
32.000000,2.749852,0.187518
33.000000,2.760427,0.191158
34.000000,2.777093,0.195204
35.000000,2.789436,0.198934
36.000000,2.802667,0.202713
37.000000,2.818423,0.206664
38.000000,2.838405,0.210923
39.000000,2.869150,0.215995
40.000000,2.905337,0.221506
41.000000,2.934532,0.226511
42.000000,2.956873,0.231002
