beta,sigma,theta1,theta2
1.455801,1.705963,1.559444,1.624347
1.532965,1.643103,1.935909,1.988967
2.504608,2.776774,3.603779,1.634162
1.323520,1.319260,1.366440,1.547366
1.519244,1.275190,1.473962,1.532649
2.011649,1.628906,1.487870,1.434828
1.428269,1.335259,1.825580,1.598217
1.327585,1.374389,2.026965,1.654007
2.331935,1.380668,1.361554,1.548684
1.412557,1.423965,1.479531,1.845039
1.415495,1.443907,1.892374,2.183529
1.399016,2.274835,1.644990,1.403834
1.511387,3.171821,1.620373,1.619102
1.202319,1.496007,1.814956,1.365434
1.641200,1.548458,1.271703,1.115757
3.215415,1.403939,4.470886,1.453818
1.707921,2.218029,2.521094,5.372519
3.620949,3.276589,2.139571,1.384698
2.115151,2.868420,2.163776,1.411263
3.577289,4.241927,2.137509,1.566926
1.287794,1.580351,1.786869,1.789697
1.421740,1.559408,1.766186,2.143073
2.764822,1.327995,1.731997,1.500156
1.345287,1.327361,1.624638,1.385116
1.849280,0.852861,1.325424,2.110929
1.727934,1.391267,1.496925,1.493136
1.514572,1.441258,1.311139,1.492608
1.410845,1.602526,1.687016,1.956449
1.841224,0.698763,3.340986,3.921692
1.837599,2.054236,1.978277,1.855840
1.361531,1.364865,1.662957,1.557197
1.525145,1.664752,1.504645,2.192934
1.686335,1.894325,5.399109,4.792108
1.393261,1.606589,1.435025,1.371973
1.277216,1.287190,1.507347,1.756693
1.432167,1.531084,1.371163,1.414080
1.880331,2.167026,2.020666,1.846726
1.356113,1.339707,1.586577,3.548131
1.975635,1.370253,2.101603,2.308069
3.510921,2.551771,2.477556,2.614898
3.075940,2.602783,1.333725,1.272383
1.324851,1.389561,1.573134,1.453309
2.246420,2.351418,9.476437,9.339276
6.310607,1.382794,1.341760,1.350372
1.268599,1.330534,2.374666,1.332667
1.322960,1.426061,1.732333,2.197645
1.432792,2.892449,1.887993,1.431055
2.264979,2.852646,3.405348,1.241428
0.921153,1.299975,1.483232,1.295125
1.868220,3.145700,2.605731,1.324598
1.343276,1.328377,1.341793,1.331256
1.268607,1.330550,1.342524,1.328094
1.292220,1.361887,1.344309,1.351385
2.253614,1.270440,1.491430,1.537702
1.338364,1.329773,1.309380,1.382574
2.305654,1.546027,2.302400,2.220297
1.775763,1.401954,1.679704,1.246821
2.603806,3.725659,1.373132,1.324193
1.287481,1.351625,1.380492,1.388530
1.764315,1.295038,1.524417,2.618666
1.963480,1.410847,1.430356,1.468880
1.694588,1.475060,1.799280,1.342161
2.273247,1.320958,2.808637,1.775046
2.203965,3.511340,9.857318,1.745258
1.397632,2.997973,6.202602,7.214696
8.039563,6.549017,6.194919,3.963427
1.823799,1.465910,1.377233,1.283194
1.323321,1.427662,1.319226,1.343475
1.343756,1.348300,1.351324,1.353483
1.346765,1.370048,1.348859,1.415841
1.317659,1.721228,1.776485,1.383610
1.781216,1.296192,1.487316,1.450084
3.484251,2.018530,1.396141,1.173462
1.827693,1.356700,1.327263,1.319304
1.470829,1.447596,1.653429,2.565552
2.296583,4.061054,2.534490,1.821556
4.985651,3.015579,3.039602,1.467088
1.345012,1.564808,1.487734,1.293431
1.402776,1.458503,1.524360,4.997030
2.416943,2.665580,1.269392,1.295005
1.287735,1.557672,1.420271,1.417159
1.812287,1.532480,2.213167,1.785477
1.304142,1.616792,1.759058,1.861769
1.754630,1.575809,1.407577,1.693232
1.484439,1.348630,1.390838,1.558173
2.230685,2.927109,2.751499,3.239136
1.399932,1.965222,1.637444,1.922643
2.540771,1.428337,1.331550,1.314304
1.337572,4.129832,2.569299,1.359068
1.961942,1.935617,1.955861,1.337585
1.338013,1.341263,1.349108,1.403121
1.337861,1.342209,1.334085,1.325941
1.476683,1.669683,1.428497,1.457206
1.327204,1.220571,1.330641,1.573098
1.705924,1.280387,1.402645,1.431834
1.372628,1.271060,1.586124,1.476820
1.648756,2.442611,1.649438,1.436390
1.590007,1.429251,2.109982,1.319775
1.319201,1.311562,1.693033,1.620442
1.527815,1.468189,1.577070,1.422803
2.493149,1.317378,2.247668,1.548505
1.361940,1.376700,3.715739,1.547806
1.567511,2.172874,1.609441,1.936613
1.277030,1.397768,1.539563,2.891957
1.350031,1.363904,1.278273,1.633686
8.664519,2.277027,3.623446,4.350645
7.076524,1.339895,1.308796,1.660718
1.340469,1.568573,2.364576,2.084910
2.227266,8.954514,5.686707,2.383326
3.515433,1.453211,2.483610,5.016061
1.592185,2.060598,2.791327,1.516094
1.375356,1.357514,1.340199,1.340794
1.339475,1.387098,1.332799,1.355416
1.340894,1.295123,1.348943,2.074468
3.032296,2.071269,1.435544,1.385761
2.596020,3.154344,1.958729,1.313583
1.278530,1.353463,1.622067,1.944074
1.451795,1.660890,1.306355,1.273009
1.773023,1.341694,1.590541,1.341727
1.381214,8.143798,7.866331,11.541576
1.727800,5.782915,5.353946,3.423114
1.731144,2.983981,1.623222,1.364208
1.288584,1.419172,1.702656,1.796154
1.409777,1.312986,2.228477,1.585681
1.303092,1.578086,2.341480,1.486976
1.682908,1.945868,2.305043,4.138359
4.121821,2.272934,1.736925,1.456071
1.713950,2.038472,1.575754,1.608188
1.529242,1.302656,1.565782,1.973034
2.279628,1.540167,1.424471,1.364377
1.511413,1.414809,1.652905,1.612786
0.917394,2.448367,1.387161,1.716780
1.997384,1.437069,1.615293,2.162666
1.366493,1.320212,1.639348,2.776558
2.424314,1.500283,1.508705,1.316761
3.159325,4.191763,2.537194,1.359588
1.345489,1.671766,1.401628,1.539497
2.340975,1.890203,1.446777,1.271600
1.417929,1.418116,1.430059,1.332768
1.869332,1.405797,1.596749,1.410354
1.642021,1.895308,1.775601,2.332696
1.840387,1.468730,1.217138,1.369066
2.010132,2.203223,1.651850,1.284600
1.301949,1.355126,2.021142,1.589343
1.478007,1.356574,1.331839,1.299946
2.260504,1.411846,1.392019,1.073415
2.248661,1.080777,1.628323,1.561481
1.374784,1.436676,1.395038,1.414772
1.412444,1.420008,1.922901,1.857898
1.451424,1.277703,1.282222,1.355205
1.282152,1.583763,1.289036,1.275605
1.608364,1.363101,3.142146,3.297267
3.231328,1.323793,2.910937,1.297370
1.325005,5.568940,2.376147,2.168621
1.893529,2.192813,1.940747,1.991520
1.550047,2.876876,2.883030,2.390348
3.519725,3.276517,2.626674,1.270515
1.870529,1.834812,2.183067,4.173140
5.320130,2.340608,1.403963,1.313808
1.825748,1.793835,1.272695,1.467069
1.361443,1.413270,2.197503,1.301162
1.327758,1.579758,1.567827,1.294061
1.420412,1.748007,1.291147,1.694531
2.561807,2.404238,2.249378,3.936643
1.667654,1.511833,1.864718,1.294456
1.506951,1.309848,1.359131,1.347215
2.382402,3.610380,2.322157,2.429847
1.472308,1.683617,1.922649,1.854649
1.734371,1.346418,1.277418,1.627157
1.157621,1.799812,1.548482,1.619168
1.419186,1.453442,1.503377,1.434999
1.683864,1.495981,1.510969,1.315057
1.311447,2.629757,3.188937,1.357622
1.491908,1.354908,2.036576,1.825820
1.585935,1.274422,1.326151,2.095759
1.418547,2.150117,0.923248,1.509920
1.392571,1.338790,1.334652,1.275724
1.333846,1.378188,1.487378,1.346302
1.776100,2.714204,1.323293,2.339864
1.380115,1.535400,1.675969,1.481630
4.071624,10.009803,2.974162,11.789084
14.072330,7.481495,7.688090,11.856699
12.737408,9.472433,1.902767,2.273123
2.749448,1.343971,1.383005,1.405782
1.926581,2.041517,1.853030,1.330330
1.298427,1.315772,1.360438,2.009335
4.008119,6.300337,11.509172,11.728687
8.065257,11.121539,4.128103,2.748551
1.985032,1.316600,1.359506,1.345412
1.334828,1.356551,1.308181,1.289784
1.346752,2.397946,1.347429,1.480289
1.345897,1.330952,1.419398,1.279403
1.289568,1.634505,1.844306,1.533855
1.306813,1.664611,1.644715,1.496203
1.652565,1.150151,1.119450,1.465757
4.680848,6.807636,1.505855,1.711289
1.333381,1.320520,1.630832,2.147525
2.840665,3.391079,2.810122,4.673982
2.754686,1.482438,1.470947,1.681438
2.368393,1.608664,1.339543,1.345366
1.369822,1.285949,2.624329,1.790706
1.399976,4.616752,5.974283,3.090734
4.506548,2.786902,2.973850,5.538991
2.132460,1.773797,1.283189,2.201882
1.394149,1.286588,1.341286,1.783973
1.383803,2.767368,3.442808,2.037050
3.832034,1.512673,1.875013,1.283390
1.557603,1.712950,2.674420,4.402426
2.611537,1.514987,1.510237,1.524358
1.268599,1.449765,2.569962,1.335873
1.425526,1.305112,1.330695,1.445656
1.496842,1.178446,2.873014,1.562588
1.509964,1.408558,1.440169,1.670972
1.692028,1.572262,2.198316,2.090033
2.698717,2.147943,2.268404,2.990390
2.977003,2.325886,1.486091,1.893286
2.474694,3.209842,1.722666,1.530111
1.300531,1.890067,1.348507,1.695817
1.310020,1.897334,1.521590,1.443076
1.694432,1.463513,1.471142,1.290923
1.696358,1.585145,1.331209,1.869525
1.489673,2.366848,1.569492,1.508366
1.446720,1.361000,1.343210,1.337646
1.476905,1.807016,1.340218,1.290608
1.349988,1.348165,1.308027,1.342111
1.462737,1.354772,1.341642,1.335296
1.359100,1.358647,1.462431,2.828180
5.342587,4.332083,3.716705,5.157140
3.592770,2.834833,5.801644,3.266928
3.741578,2.341061,1.412319,2.871285
1.483847,1.456480,1.811095,1.303484
1.307107,1.424820,1.475806,1.763553
2.417480,2.317021,1.883908,1.329278
1.881746,1.534248,1.042578,1.122225
1.647617,1.866301,1.682410,1.492340
1.304399,3.764846,1.525914,1.676970
1.534091,1.312777,1.421795,2.081289
1.479611,1.234228,1.715325,1.811096
1.836899,1.594016,1.389811,1.391023
1.566592,1.268599,1.591335,2.416017
4.134377,1.274265,1.670422,3.141330
1.585455,1.394808,1.446619,1.435705
1.311387,1.604109,1.332123,1.420311
1.437146,1.547517,0.829852,3.014024
2.555199,2.250992,1.584389,1.422818
1.328733,1.439830,1.427492,1.545932
2.455691,1.930603,1.416752,1.331064
1.925181,1.672626,4.188975,10.630179
73.007880,3.451771,2.321670,2.593115
3.218186,2.347344,7.992550,7.732905
4.479377,2.171813,1.583990,2.354339
1.809227,1.557419,8.684619,4.836066
4.237755,3.155939,2.343649,7.842964
8.329038,24.914538,43.977040,20.402736
4.287294,3.199242,3.555854,1.661771
1.865890,1.512323,1.542062,5.827402
5.130102,6.831188,1.671440,1.513836
3.861687,1.873146,29.085384,19.076413
46.864872,12.528166,1.546870,2.382374
2.095256,2.697645,3.779868,5.225741
2.703215,15.610450,4.969562,3.158586
24.172773,40.456417,131.124605,156.638358
414.616103,154.199567,2.758208,3.899580
1.883560,1.647153,1.636315,8.196548
14.576157,117.571550,101.158768,52.668585
30.226813,1.481362,1.545304,1.682909
1.561477,17.963073,5.254875,2.805121
2.832898,1.540677,2.703712,3.291235
3.349196,3.559227,1.684525,2.578252
162.750208,4.786092,2.418221,1.467738
1.462871,3.543527,2.362904,6.406480
3.928403,2.830368,3.385172,6.105497
1.469255,16.285302,3.232563,3.146991
2.212195,1.597753,1.739407,12.279404
2.966608,15.981228,3.667704,1.635107
1.771673,5.174443,4.360933,3.119592
3.384480,3.569399,3.172639,1.783520
1.572203,1.575423,1.576325,1.990051
1.516283,1.705231,1.624077,2.409499
4.037465,3.238103,2.299766,4.454013
7.845927,2.431609,1.522662,1.491739
1.524480,1.643094,15.284294,34.169623
1.661446,1.660604,1.642547,4.248047
1.909582,3.078776,1.940988,10.583283
3.255120,6.852595,10.239378,12.302099
13.362522,4.059874,4.882162,2.004575
2.678508,1.540310,1.559813,2.785973
1.519949,2.773848,4.429247,1.650549
9.913112,5.610367,3.302655,2.673879
3.480571,1.552632,2.648027,3.376443
2.994242,1.998761,1.900335,1.784060
2.748604,2.293959,2.368359,2.008620
3.047035,1.617206,21.778337,19.838436
13.287152,6.141597,1.776035,13.040914
4.130022,5.077341,28.017597,14.954475
5.776668,2.222337,2.480604,4.146826
3.017351,2.698361,2.296740,2.636709
2.096850,3.316534,5.178697,2.740697
4.281657,1.597998,2.433656,5.619423
2.950985,1.710163,1.655229,2.282344
1.656908,1.698755,1.867466,1.517205
2.584683,4.270362,7.577006,79.280146
49.915161,40.654683,11.929320,1.781164
15.938638,2.190847,19.081632,1.999536
2.662808,2.338201,2.644677,3.074486
1.721615,3.251920,1.522651,1.476352
1.729073,4.307113,2.185280,8.657495
2.537411,3.985286,3.243722,2.501907
2.787401,1.831264,1.528541,1.489987
4.517671,1.748915,9.730559,4.560498
3.713109,3.468887,35.701883,4.435065
2.504976,3.776333,2.707405,1.961349
3.375188,1.484707,1.989426,1.928005
3.508709,3.464597,1.471320,1.776314
2.886381,1.646995,2.097747,26.723482
5.163731,7.467156,1.660987,2.826318
10.828621,1.970301,1.745160,3.287112
1.542252,1.747945,3.655495,1.716408
4.066397,1.779339,1.541998,3.749639
1.535469,1.502412,6.813020,3.617436
2.668732,1.632815,5.049981,3.435660
2.283433,5.159386,3.242631,1.661017
2.375204,10.913288,2.773600,1.726464
1.946088,17.061640,1.950361,1.877828
6.006991,3.017309,1.840337,1.626232
1.637326,2.403518,2.056907,4.782193
11.109811,3.580836,1.483368,14.064630
4.306091,4.950172,6.519678,1.820170
4.403105,5.874455,3.664456,5.467779
4.037297,1.517691,1.811484,3.045318
2.184822,2.103221,1.653716,17.776129
1.696310,7.688003,1.783006,6.372433
3.305738,11.472427,5.034853,9.010080
7.341622,2.987566,2.259812,15.584224
3.132055,1.640141,1.534437,1.571346
1.598635,3.172083,14.636529,9.391678
1.525825,5.662995,8.980823,2.412966
1.577989,1.871612,8.253151,1.546109
1.541985,1.641028,1.671725,2.197041
2.154298,4.080256,5.610339,28.888135
5.219797,1.891765,3.321927,1.973814
1.631534,1.793477,1.728005,1.474216
2.065027,1.480073,1.569320,2.988580
6.383057,21.228440,56.765737,32.990160
61.926704,17.202388,101.508544,79.746713
198.615892,14.828954,5.271949,2.224571
3.815856,6.947719,3.359493,8.400986
2.052521,3.481005,2.575519,2.561956
1.707750,1.796954,2.974850,2.241270
1.487263,1.765356,1.632547,2.624425
3.013580,1.505236,1.661823,9.417488
3.950351,2.331071,2.472689,2.464092
7.904580,1.499424,1.672754,2.540816
1.464217,2.167508,1.649982,1.492042
3.663454,1.999736,2.770153,1.486467
1.629668,1.655567,7.216281,2.337412
93.817990,85.186250,4.719090,2.014162
2.156908,1.511583,19.807517,361.591134
207.514553,72.083093,13.010928,10.376350
1.734388,1.657051,1.646154,2.020564
1.695460,1.471127,1.976726,17.025681
1.751015,5.422052,9.356848,45.822869
1.563353,5.165824,4.947051,1.596753
1.896415,2.519824,3.423512,2.977819
2.968830,1.635998,25.597612,15.678642
30.576172,37.402549,66.073092,4.115436
3.808412,10.828907,6.952170,3.052616
13.630029,2.006616,1.694084,1.661823
9.070440,3.765133,5.876731,1.789842
2.013973,1.517348,14.568383,4.400575
6.010471,8.257605,1.488252,3.109850
1.836341,7.299481,1.981975,1.506608
1.569846,7.855594,6.981094,2.190887
1.697917,1.644709,1.468325,87.210989
126.018915,3.484539,80.418263,1.822114
1.544833,1.821252,2.666828,2.281327
2.345963,1.919998,11.387399,1.662179
1.812980,2.735986,1.572820,1.514646
1.790351,3.647781,1.499371,3.172200
3.429928,2.223302,2.630127,1.584076
5.163227,2.010620,5.620403,5.356443
2.477699,2.360213,2.341552,60.713470
12.339315,24.689707,34.189459,70.506356
4.265895,2.920577,13.503755,19.142755
54.163407,89.031968,63.797969,3.601490
7.758975,2.031454,1.601937,16.336385
4.165325,1.469105,6.389161,9.184428
2.553632,1.524669,1.491360,2.688288
1.773944,2.692431,2.189351,1.492941
2.472292,4.518052,1.763801,2.223772
6.236528,1.476869,3.666196,1.563298
4.183440,3.803906,4.747542,3.091838
1.551075,6.101711,15.397179,1.573770
9.000547,98.300532,438.238526,46.863203
13.001953,1.491873,1.473964,1.710153
4.700533,13.421589,2.848743,2.590168
6.594423,11.320386,8.659392,1.875837
9.792441,5.738798,2.953303,16.795218
24.273820,6.798299,64.105050,19.767219
1.629197,1.592607,1.783569,2.201805
3.225097,1.569565,6.148196,10.576746
10.340179,9.674873,2.236217,6.420454
8.136046,2.344795,2.599706,1.710983
12.418988,2.707653,152.694777,217.845862
57.893664,40.493741,15.136812,20.201166
26.486696,1.546039,10.979672,170.779898
158.236104,2.130297,4.715273,3.412702
1.792973,2.515428,7.846454,1.973101
1.655348,2.112079,1.924821,1.503999
2.365743,3.680929,1.621577,1.651837
6.273837,96.548495,111.210141,5.563685
3.806707,2.375555,6.448834,21.657817
1.624485,1.499624,1.536814,1.753479
1.496341,1.499246,1.501662,3.530495
3.745974,1.492057,1.512621,1.587206
10.408739,7.102555,5.651868,12.051561
10.447236,1.504080,9.487197,5.076655
1.469350,1.717391,1.937702,2.184032
7.735775,4.550385,4.543177,2.526867
12.049833,7.996271,1.594802,1.500706
4.124743,1.683415,1.498205,2.753581
2.063796,5.124553,2.543910,1.684944
4.741569,7.193107,3.075944,3.306416
2.189496,1.783199,1.784819,3.864076
4.720894,7.869954,1.659334,3.405483
14.260048,8.073635,2.824224,2.058824
1.679079,6.069512,3.494620,5.774168
3.332265,2.760908,4.269250,1.526056
17.105848,11.259877,17.283109,11.326443
1.518094,1.510410,2.256189,3.492538
3.560753,3.041162,6.395932,5.733509
1.824513,2.224121,1.469287,1.624740
1.778240,14.833517,8.437050,6.690030
9.447983,15.333471,14.621635,8.859466
1.519198,5.907496,2.519327,7.382877
2.763135,4.671688,4.083934,1.692427
1.795466,1.954299,3.655861,1.654342
1.617805,2.338026,1.716801,1.661983
1.507552,3.034454,4.004573,2.693541
4.021758,1.498527,2.482554,1.917101
2.507968,2.537219,6.525131,3.863349
2.988009,1.570814,4.731492,5.285141
3.804123,4.374394,2.604989,2.669363
1.545967,1.504552,1.661823,1.684086
2.277485,2.254772,2.508544,3.223163
1.825535,5.787617,1.691377,1.569634
4.542917,6.255619,11.112074,5.774622
18.734925,28.664424,6.234734,19.457002
1.507767,1.960992,2.142739,2.758456
2.381658,3.167391,11.503121,4.295105
3.845416,13.230668,10.479504,23.952320
2.174937,1.608278,2.629155,1.472590
2.138321,2.076363,1.662533,1.962465
1.493223,1.861540,2.408302,3.010657
2.002343,5.531505,3.107582,3.799896
4.318840,6.809193,6.513180,6.375323
8.304072,2.590594,1.475549,1.471763
13.896021,142.033680,62.228274,36.098545
8.746487,42.971064,17.443244,6.911180
6.347763,5.201173,6.319693,1.632631
1.661827,1.656182,1.499329,15.109265
27.620620,20.676311,98.273771,207.028970
46.517828,17.475080,1.682923,1.674860
2.098432,1.529110,1.543984,1.661144
1.493625,1.473079,1.662940,54.279654
44.237735,14.195616,1.492942,5.392879
4.792764,1.552761,2.466801,7.689628
1.527114,1.984398,1.664011,1.550582
1.527068,3.773934,7.087200,35.289573
8.661998,8.170218,1.846149,2.126169
1.719010,1.581794,1.709198,2.426698
2.251731,1.773605,4.650779,1.666791
1.548417,2.744724,2.918038,3.249030
1.531915,2.362111,2.397326,3.728835
2.216342,1.495799,1.665859,3.242439
4.003851,13.593763,7.418022,4.906582
1.533700,1.695844,2.554978,3.092977
5.970824,4.504234,1.996496,1.727061
4.064965,1.708177,2.669562,1.515087
6.797314,3.052033,2.085525,2.086951
12.865677,4.958528,5.681154,1.955393
1.902868,1.686145,1.943478,2.233778
4.134853,43.568229,2.906123,23.142326
10.064231,21.068123,1.821971,2.290955
4.423181,1.540901,1.757433,1.529951
1.710906,1.554658,1.513341,20.190708
15.351550,2.742922,1.845658,1.524096
1.702300,1.592826,1.695735,1.742137
1.880713,10.062535,5.705966,12.911966
4.721798,5.071634,2.202132,1.712384
1.682759,2.625709,2.180728,1.526563
1.508806,1.515239,1.988297,3.743061
1.959242,1.541440,1.525231,1.824245
6.112660,9.884686,4.344753,1.486102
2.555131,2.152560,3.722165,25.106284
22.926844,2.590181,13.742497,5.633845
2.724311,2.703056,2.907585,5.070032
3.377869,1.970517,3.787036,2.723606
1.507215,1.652265,1.717954,2.241965
2.641574,4.094118,1.647024,1.634372
1.923861,1.927285,10.286359,38.055078
62.885413,2.576294,5.470589,3.525996
1.652217,1.640234,1.605504,13.862989
5.146331,26.279871,12.105397,20.218124
8.115232,4.724429,4.427651,2.310889
1.543254,1.613937,2.047326,1.645754
2.510863,1.587633,1.816545,4.000403
3.792092,1.875902,1.613106,5.816974
1.488870,1.670864,2.859784,2.329182
1.622388,1.496043,1.637445,5.856764
4.267469,1.721968,2.167275,3.281219
2.277159,3.569379,3.041762,3.060622
2.832834,3.782999,2.579667,9.931332
6.397073,9.055439,4.341892,3.117877
2.347103,2.621443,1.582353,7.850181
2.615015,3.678151,22.332929,35.183035
22.340370,7.109108,1.603257,1.485639
2.146400,9.306140,17.733134,20.234644
45.824634,31.732696,3.282481,8.230498
5.576109,2.445574,2.690662,9.653921
3.822102,4.334984,3.611601,2.494243
27.525499,30.132812,24.557239,5.976805
7.000669,2.932478,1.509608,1.731278
1.593364,1.514803,2.126961,7.633050
3.811818,3.648915,2.691295,2.118056
1.985067,3.003614,2.276219,2.094806
1.524786,2.728620,2.384098,2.635607
32.424707,22.635660,26.478376,154.829480
5.355993,31.094874,5.862917,2.034432
1.913637,1.870744,5.191718,3.508583
1.559450,1.688879,3.181209,3.095074
3.955486,7.699642,3.623791,1.531344
1.538079,3.598948,2.416997,2.268935
14.893684,10.201938,3.022888,15.583583
1.531135,2.439837,1.527060,1.821065
1.803997,1.526056,6.137535,5.295248
1.488764,1.616027,2.570684,1.747714
2.180816,1.958715,2.923418,26.196732
36.024955,33.834453,22.208258,32.312199
18.460351,1.750233,3.908673,7.853096
3.301413,2.681060,1.892854,1.506776
1.491972,4.767566,20.651745,18.597410
7.731435,3.232788,1.497212,2.384404
6.970437,7.498508,2.796353,2.869768
3.155753,2.474473,2.686453,1.832349
4.160501,4.618978,1.585683,2.304880
1.699374,1.481305,2.281767,1.623693
1.643999,8.586357,1.633164,1.535884
1.513633,1.629417,1.973002,1.799763
3.621654,2.395182,3.120966,1.522264
3.891376,5.458827,2.304676,1.657003
1.655988,1.540694,4.015252,5.877152
6.379402,3.482409,10.453787,15.867681
92.639683,11.504422,7.597203,3.495087
4.224203,2.429835,4.454180,20.354876
21.908848,4.613670,1.513333,20.011766
10.797655,8.085252,2.146385,3.984547
2.559483,6.203131,3.491131,2.801666
1.748317,1.980220,3.261254,10.006280
2.012827,4.667566,5.571587,2.252335
2.598460,2.969815,6.722814,7.724886
13.630298,14.690921,1.765071,2.895423
2.908573,1.773102,1.558152,1.494404
6.184537,5.100708,1.959129,6.524429
5.950340,1.516197,1.538914,1.959454
2.654239,13.394088,1.486892,2.049522
7.524512,15.930435,1.774606,4.757671
7.181991,6.402963,1.509945,3.172847
1.944196,1.833675,19.301913,3.246794
2.324219,2.700428,3.222926,9.312919
5.732286,5.738841,4.079094,1.474251
1.515028,1.915137,1.649509,2.400521
11.066649,1.743510,2.324227,53.136975
18.255329,21.318480,2.123115,2.637988
2.807336,9.740049,4.419357,5.453856
24.455174,780.616445,207.576932,168.383072
69.038247,15.493713,15.064975,5.357769
9.999699,1.880475,1.755630,1.631316
1.658597,2.798511,1.679641,1.511757
1.833974,2.412482,2.283445,3.499873
2.905725,22.840448,15.424421,2.271214
1.636887,1.985229,1.661823,1.615098
1.557749,1.870075,1.535305,1.484761
6.703361,1.492925,1.487814,6.670874
2.812154,1.730058,1.705700,1.877884
15.682050,9.211713,6.835372,2.791635
1.773578,5.311000,5.665555,3.816014
5.862939,2.525772,2.613194,4.338783
10.296980,8.622239,7.129612,1.581498
2.256886,4.250782,1.608280,2.077282
4.964605,2.851702,3.031657,1.584266
2.107020,1.473844,1.518726,2.289296
2.092738,2.407431,9.364268,3.082014
20.652206,4.392393,1.659809,42.168543
11.715282,14.906582,1.501669,2.010334
2.365531,12.402772,27.405761,3.880058
1.592207,3.689564,4.417044,11.312023
380.922297,160.299761,210.058918,219.443707
62.413442,80.900990,437.886377,236.250710
655.241929,256.619157,3.926100,1.760540
1.501556,2.085858,3.894382,2.507016
2.236552,1.464504,2.020229,6.770398
2.660827,14.508795,32.720125,12.251635
1.487259,3.581896,2.121544,4.416019
2.795269,2.665860,1.621710,1.512860
1.588588,1.493990,1.587601,1.627463
4.113405,115.213183,112.307254,82.201288
74.708321,85.959745,109.637074,263.573312
123.983452,93.450156,164.800505,322.267787
61.654072,2.699510,3.419613,1.501863
1.589875,4.448075,55.559209,9.992621
18.509689,9.279340,8.100440,8.687617
12.349250,5.291184,91.955984,28.650451
181.006147,58.579629,65.382898,86.820057
85.637932,18.590463,42.749774,20.526597
8.857170,2.385427,7.208245,1.689829
2.030076,6.091656,4.965562,6.803661
2.766221,1.771284,1.633292,1.661585
1.699922,1.798825,2.568117,3.227460
2.776976,9.981557,1.594091,1.810153
2.307561,2.298690,6.488450,2.926044
1.517896,2.090380,1.545297,1.905842
2.648830,1.881809,4.099003,4.587407
2.187319,2.321211,1.516457,3.432804
4.121098,2.971875,5.337871,4.341721
1.691705,1.494137,2.177901,1.688101
2.810988,1.991686,1.988375,2.194527
1.956698,1.704470,1.663163,1.471068
5.437225,3.456708,11.379728,2.389359
1.521210,4.873732,1.599774,1.867790
4.327140,2.982866,15.874876,8.137374
2.316000,6.290145,1.510247,13.861528
37.624439,120.465472,34.620887,2.735630
1.511402,1.865333,5.410485,2.287721
20.007363,4.754154,1.602502,1.544470
3.035188,1.595038,3.025710,2.626829
2.271345,1.493311,1.897417,1.655398
1.948879,1.779855,12.093100,1.854844
2.000864,2.095796,1.506170,2.945655
1.469632,1.549771,12.276650,2.413656
25.237662,2.801799,2.237906,1.569748
1.835931,2.446772,12.738583,2.557726
1.553234,2.970869,29.734693,10.265169
4.899439,2.829880,2.273353,20.919807
1.922773,3.146829,1.579107,1.511539
2.229165,1.731907,2.124531,2.186014
3.943682,13.836902,3.440958,3.969627
1.738702,7.566981,5.761152,6.411776
8.829643,5.681863,5.704845,1.661808
1.494985,1.559489,3.251359,1.621883
2.388831,3.054122,1.688064,1.609637
1.483643,2.038221,2.288769,3.003127
1.880402,2.489303,2.087039,2.094932
1.723510,1.571430,4.854641,2.172392
2.947659,2.040385,1.528133,2.383870
1.479410,1.481649,1.600823,1.470882
5.921251,5.226226,3.946799,1.550542
1.499135,1.488408,1.474799,2.003387
4.781247,1.611816,1.601545,16.165445
5.687942,1.722400,1.476371,3.624855
4.352882,2.539336,2.265699,1.928995
1.669635,1.688423,10.813540,5.060045
9.636421,4.782653,13.651554,54.776801
21.967241,10.099938,1.650298,5.137067
5.006493,1.936805,2.008267,1.731690
1.867306,2.836730,1.550454,2.295023
2.937635,2.245421,8.522715,3.421610
1.785889,2.811200,3.743326,3.288956
2.754876,11.032224,4.115744,3.260020
1.825428,3.642605,4.527824,1.565973
1.800763,1.763892,1.639109,2.134494
2.191567,1.916783,1.519789,3.012151
1.714718,1.513057,1.683431,1.755256
2.465023,4.403628,4.634257,7.714226
15.119672,4.834135,3.387493,7.045160
7.413524,11.097025,14.575240,12.660585
1.736980,2.983356,2.052140,1.561609
1.528394,5.646917,13.612427,30.448682
216.500135,380.128836,4.516873,1.957030
1.785452,1.532644,1.508826,1.609198
1.487258,1.663237,1.675157,1.472685
2.130640,3.316163,3.437006,2.787262
2.876408,2.202063,2.022845,1.479089
3.855470,3.096817,3.450045,3.790371
3.539871,37.141113,3.370661,2.005300
2.407890,11.203209,2.503640,1.682339
4.390602,2.109633,8.228577,34.729792
18.857694,2.087145,2.001105,1.503025
2.684002,1.684809,1.891751,1.520878
1.728717,3.539291,2.594983,10.438598
14.465345,1.815351,2.133864,1.963927
2.281951,1.928529,1.480008,1.463197
1.906437,1.843909,2.008567,3.244873
5.246972,3.676548,2.289724,8.991492
7.820705,2.011810,7.620535,1.488117
4.350058,2.377475,4.633588,5.258359
2.503719,8.422407,4.959175,6.400186
6.246098,7.008679,6.796182,6.073554
4.146713,1.815492,4.253361,1.648202
