beta,sigma,theta1,theta2
1.354385,1.310734,1.356884,1.338860
1.637968,1.339274,1.269444,1.348332
1.354423,1.340762,1.354918,1.333149
1.351159,1.269952,1.539054,7.634373
7.001984,1.592164,1.553990,1.477235
1.975362,0.729084,1.437595,1.291667
1.315050,1.529583,1.290943,1.301143
1.288949,1.811306,1.537398,1.298822
1.305491,1.465584,1.442075,2.408648
2.084410,2.115819,2.744183,1.283323
2.843645,2.023852,1.385174,1.385425
1.563488,1.657712,2.187228,2.142919
1.895948,1.381571,3.115620,2.581974
1.345260,1.418762,1.697015,1.504981
1.284866,1.480515,1.512994,1.868875
1.598848,1.408322,1.386857,1.233027
1.458514,1.456219,1.496369,1.414457
1.376713,1.834978,2.022243,1.403341
1.394622,1.923817,2.945744,2.559740
1.424810,1.609401,1.283260,1.892305
1.878317,1.379647,1.918508,1.650951
2.090981,1.279720,2.653077,3.047885
3.161548,2.693985,1.299105,1.290572
1.639491,1.804126,1.622320,1.549507
2.433748,2.297834,1.515660,1.480893
1.374018,1.478176,1.399056,2.092279
1.664703,1.499778,1.639830,2.807548
3.391130,2.537767,1.319908,2.152589
1.743030,2.522401,1.419382,1.402885
2.062491,1.480329,1.415840,1.459165
1.955429,1.271342,1.311494,1.428115
1.460119,1.268751,1.418712,1.641560
1.707540,1.579937,1.987976,1.338085
1.630213,1.488102,1.661628,1.741813
1.279134,1.587078,1.716718,1.315654
1.786750,1.572629,1.453576,1.669585
1.436178,1.386881,1.311085,1.379283
1.268599,1.334163,1.589091,1.652389
1.701460,1.495116,1.493202,1.557288
1.360837,1.396174,2.085886,1.339440
1.481097,1.579655,2.706672,1.001624
1.514599,2.776468,1.300135,1.503984
1.475524,1.567869,1.437231,1.420740
1.899517,2.010913,2.016330,1.723886
2.800399,3.945875,1.560915,1.330661
1.584162,1.359137,1.601353,1.506942
1.269017,1.585028,1.287869,1.504736
1.464882,1.490996,1.579832,2.076515
1.573092,1.674507,2.078108,1.248858
1.768964,1.310245,2.618098,1.383396
1.296888,1.300960,2.574076,8.613365
5.075827,4.386412,2.120966,5.531950
3.604365,2.392502,2.391505,2.250183
2.424308,1.305094,1.268609,1.271653
1.352403,1.100531,3.306093,2.961626
6.810106,8.996121,4.913452,3.561197
1.453389,1.410303,1.543136,1.345335
1.355944,1.270585,1.350183,1.370517
1.269265,2.818892,3.964022,3.296843
1.385047,1.924435,1.376466,1.375446
1.572138,1.630380,1.306751,1.597071
1.403280,1.303921,1.342546,1.775007
2.284361,1.947766,1.764005,2.083811
1.428910,1.486300,1.321305,1.293179
1.309426,1.617689,1.650975,1.503568
1.846797,1.338361,1.319352,1.746545
1.622922,1.816513,1.338205,1.528708
1.519067,1.970402,1.505147,1.363278
1.494546,1.798455,1.765058,1.914883
2.034275,1.337074,1.386696,1.508801
1.486548,1.671583,2.198654,1.564487
1.593560,1.312412,1.723104,1.305380
1.693935,1.382807,1.249143,1.469804
1.595955,1.535957,3.180060,1.641120
1.636435,1.377196,1.426841,1.479257
1.464580,1.467223,1.973428,4.758856
1.479813,3.814232,2.624320,3.169853
1.423703,1.679577,2.112052,1.443068
1.335446,1.348527,1.463445,1.389853
1.405544,2.410989,1.307006,1.746089
1.409196,1.330809,1.302336,1.464449
1.397321,1.371432,1.354648,2.720341
1.938581,2.700808,2.151300,2.204857
1.383443,1.510938,1.492153,1.392879
1.382747,1.326663,1.345116,1.320527
1.458170,1.463244,1.594313,1.323834
1.307753,1.345617,1.812107,1.893500
1.442463,1.335731,1.341768,1.355158
1.302742,2.454367,2.397556,1.340229
1.823678,1.425791,1.336343,1.336202
1.331257,1.313426,1.316123,1.366244
1.299399,1.339055,1.298488,1.352475
1.356771,1.340666,1.342294,1.372379
1.328618,1.330867,1.336877,1.341712
2.337664,4.738385,5.065637,1.361486
1.499207,1.399340,1.322865,1.270993
1.275912,1.965046,1.493275,3.603442
2.535084,3.885747,2.667769,1.977725
1.970994,1.501821,1.311237,1.272118
1.590363,1.485236,1.740416,1.275762
1.477683,1.766092,1.762073,1.433821
1.432507,2.325923,1.347904,1.437153
1.820954,1.434406,1.454157,1.407389
1.284748,1.861306,1.745644,1.468317
1.428658,1.419642,1.487377,1.834425
1.737924,1.643372,1.418254,1.468453
1.520023,2.265746,2.430930,2.790070
1.904913,1.658984,1.537349,1.732684
1.312280,1.204945,1.690796,1.945922
3.947346,4.652540,3.637664,2.503381
1.275147,1.313390,1.340379,2.577105
2.787370,3.896000,4.949896,2.896447
1.876311,2.463182,1.725474,1.376469
1.404188,2.417981,1.481129,1.676281
1.476566,1.355295,2.712755,3.580021
4.008200,2.373291,1.964732,1.832406
1.304031,1.339524,1.273425,1.319277
1.642853,1.281513,1.780083,1.631402
1.569125,1.598399,1.576727,1.846070
1.515835,1.448140,1.348831,1.534388
1.579373,1.589589,3.505330,2.719163
3.918084,7.522270,1.343773,4.671637
2.356139,1.507185,1.418173,1.526955
2.244360,1.475992,1.312340,1.335149
1.561034,1.715968,1.702949,2.599958
1.977945,1.342893,1.326240,1.951385
1.451931,1.436108,1.431134,1.811439
1.622954,2.193340,1.333168,1.431314
1.318082,1.415560,1.363429,1.330802
1.302686,1.685590,1.301863,1.272670
1.626574,1.405557,1.453176,1.367397
1.585378,1.240009,1.687344,2.974096
0.928514,2.382361,2.110968,1.337587
1.730255,2.580628,1.467568,1.519257
1.526607,1.311040,1.292328,1.504329
3.339643,3.770828,2.295305,1.493903
1.294073,1.522636,2.164464,2.553403
1.708592,1.527926,1.416882,1.509074
1.421882,1.404747,1.370637,1.947597
1.364138,1.509272,1.422472,1.295808
1.683603,1.333684,1.275484,2.614492
1.288691,1.313020,1.310781,1.346868
1.494929,1.417346,1.931809,1.622220
1.876754,1.283914,1.819601,1.957779
1.539499,1.268935,1.274400,1.335457
1.875844,2.351089,2.410623,1.532014
2.837270,3.529772,5.824682,2.884491
2.004058,1.868729,2.088725,1.537860
1.357238,2.861575,2.508366,1.819771
1.305011,3.890183,2.112685,2.192781
1.388630,1.791094,1.645580,2.265061
1.780508,1.473255,1.402077,1.521248
1.794571,2.806366,1.476462,1.425761
2.272160,1.444851,1.443163,1.471159
2.318219,1.730018,1.234234,2.935278
1.506048,1.732797,1.630114,1.512102
1.319482,1.294068,1.571653,1.489836
1.350114,2.399067,2.336093,1.319851
1.387224,1.429774,1.673480,2.670418
1.299816,1.380866,2.320679,0.864743
1.432570,1.736764,2.370917,1.280093
1.314805,1.798712,1.530242,1.527037
2.136805,1.883609,1.691356,1.785223
1.552568,1.639573,2.222400,1.948712
2.054016,1.300597,1.309628,1.335767
1.333284,1.341146,1.821595,1.353213
1.346148,4.075417,1.979574,2.064624
1.357642,1.357147,1.338374,1.462070
1.277285,1.289057,2.318382,22.498923
11.598643,10.718776,6.999896,3.432026
3.397744,1.314839,1.168781,1.425838
