tauint,rho,drho
211.000000,0.035043,0.024541
212.000000,0.035044,0.024541
213.000000,0.036315,0.024538
214.000000,0.037394,0.024535
215.000000,0.037594,0.024535
216.000000,0.037414,0.024536
217.000000,0.037290,0.024538
218.000000,0.036609,0.024540
219.000000,0.037085,0.024540
220.000000,0.036944,0.024542
221.000000,0.037147,0.024542
222.000000,0.038219,0.024541
223.000000,0.037845,0.024544
224.000000,0.038014,0.024545
225.000000,0.037048,0.024550
226.000000,0.037340,0.024551
227.000000,0.037917,0.024552
228.000000,0.037269,0.024557
229.000000,0.036523,0.024561
230.000000,0.036401,0.024564
231.000000,0.035408,0.024569
232.000000,0.034953,0.024574
