W,tauint,error
0.000000,0.500000,0.000000
1.000000,1.052494,0.012688
2.000000,1.377206,0.023479
3.000000,1.592174,0.033244
4.000000,1.750456,0.042203
5.000000,1.866515,0.050312
6.000000,1.955754,0.057749
7.000000,2.019755,0.064418
8.000000,2.066765,0.070468
9.000000,2.108113,0.076238
10.000000,2.143035,0.081694
11.000000,2.174201,0.086927
12.000000,2.208585,0.092228
13.000000,2.242719,0.097478
14.000000,2.281687,0.102915
15.000000,2.321831,0.108401
16.000000,2.360009,0.113797
17.000000,2.397723,0.119174
18.000000,2.438014,0.124690
19.000000,2.478428,0.130230
20.000000,2.512741,0.135463
21.000000,2.539718,0.140299
22.000000,2.559203,0.144702
23.000000,2.584555,0.149420
24.000000,2.609645,0.154115
25.000000,2.628436,0.158426
26.000000,2.648281,0.162783
27.000000,2.670674,0.167287
28.000000,2.697199,0.172048
29.000000,2.724135,0.176842
30.000000,2.742760,0.181095
31.000000,2.753734,0.184825
32.000000,2.760885,0.188270
33.000000,2.766971,0.191611
34.000000,2.778222,0.195283
35.000000,2.791117,0.199054
36.000000,2.803835,0.202797
37.000000,2.821133,0.206863
38.000000,2.834748,0.210652
39.000000,2.846932,0.214323
40.000000,2.858400,0.217927
