likelihood_theta2,theta2
4.1514191701e-18,0.7424869755
4.5694050515e-18,0.7712540882
2.0283973077e-19,0.3284746190
9.0918765817e-19,1.4018878609
6.9919262544e-54,4.5819004790
2.0842212477e-49,4.1898338110
3.2474336567e-29,2.6291818066
1.7758463060e-20,0.1530103108
1.2183017436e-21,0.0236089850
8.3602999057e-20,0.2577308913
1.7149430569e-18,0.5666759825
5.3037648020e-18,0.8278637794
2.6023831696e-20,0.1770287824
6.6351778431e-22,1.9255477096
4.0671551978e-21,0.0709984758
1.0916065247e-21,0.0205985718
2.9667426942e-20,0.1855199972
1.8240824428e-56,4.8283124119
2.9349018841e-23,2.0813719533
3.7864978077e-18,0.7180784551
5.0063138850e-22,1.9405143393
3.1335570675e-18,0.6743419821
1.4033909087e-20,0.1387584764
3.6265277759e-18,0.7074361700
1.9467725248e-18,0.5866146728
2.0705158587e-35,3.1100558024
5.4617639767e-22,0.0039101868
4.2511572834e-18,0.7492413914
5.1588892638e-18,0.8156372694
5.9893613023e-18,0.9957371700
5.4809070912e-18,1.0611368057
2.7381600129e-18,0.6469011214
1.5283725883e-19,0.3047777124
1.8879846890e-18,1.3070854587
2.3356997735e-18,1.2739699662
2.0758032701e-18,0.5971554186
1.6336002570e-18,0.5593192745
5.3388479017e-18,1.0737560825
1.8236806491e-18,0.5762037374
1.8043544767e-19,0.3185346167
1.1757078088e-19,0.2837866808
2.5294660740e-19,1.5304733535
1.0724858186e-20,0.1229832133
1.5981889129e-19,0.3084416077
2.9795992654e-18,1.2310181225
3.0782490381e-25,2.2812280400
3.8911978040e-19,0.3880539948
2.3093640956e-18,1.2758245962
1.9979611161e-21,1.8648317936
4.6776074243e-18,0.7789628881
2.6902833982e-19,0.3533548619
5.4167003973e-20,0.2263134641
4.1836117637e-18,0.7446615232
1.0653254410e-18,0.5001786754
6.0732137158e-20,0.2344195821
5.4675005207e-21,0.0859623343
3.4107722667e-21,0.0625682136
5.2921648649e-21,0.0842705426
5.8331455921e-18,1.0222197389
1.1024929622e-18,1.3790201228
6.7709308303e-22,0.0093487787
1.8061308237e-18,0.5746881477
3.1535709208e-21,0.0589456424
1.0942369778e-24,2.2280981420
5.9965984932e-18,0.9941091078
5.3314110757e-20,0.2251983278
3.5018543181e-18,1.1981841410
5.3536212595e-18,0.8322634994
1.1469735063e-20,0.1268712182
1.8299578821e-18,0.5767438555
7.6027802310e-19,0.4591297695
1.5517056260e-20,1.7404251042
2.2974970220e-21,1.8568690504
7.0497527758e-58,4.9708366133
9.4579277986e-45,3.8149303179
1.9921929060e-55,4.7272176426
2.5539772548e-27,2.4696549305
2.0284360307e-18,1.2962936326
1.3353882389e-18,0.5302823594
5.5418726042e-18,0.8500730730
1.6056596680e-20,0.1468602978
7.1970134008e-19,0.4528337038
4.5967562315e-19,0.4046582285
2.6255470050e-31,2.7965821544
1.9688168642e-18,1.3008230062
2.3163968420e-18,0.6159588419
7.5424250339e-19,0.4582088092
4.1029906693e-18,0.7392245555
1.6387378288e-18,0.5597901708
1.5700492523e-18,0.5534203800
1.0002370730e-21,0.0183376321
1.9448171813e-18,1.3026673033
4.1344281955e-18,0.7413412111
8.9883485363e-20,0.2631585902
3.8571008424e-18,0.7227785895
9.5151110025e-19,0.4859551748
3.3533037242e-18,0.6891893522
4.3681861715e-18,0.7572421724
4.4998070478e-18,0.7663649788
5.8136366752e-18,0.8814673596
1.0341408232e-18,1.3867518135
8.2638459421e-21,0.1082193287
8.0773902133e-21,1.7819826272
4.0163600278e-18,0.7334112430
3.7644762707e-19,0.3848287221
4.9449020524e-18,1.1045347618
8.3599286876e-21,0.1088627207
5.0032083019e-19,1.4660818296
3.1287067217e-21,0.0585848382
5.8349684441e-32,2.8475131579
2.2259825716e-18,0.6090097705
1.5535700367e-18,0.5518675908
5.7875632534e-20,0.2309912604
1.2312842317e-18,1.3653169220
4.9839482988e-21,0.0811827856
1.8004755563e-25,2.3032226812
1.2507499099e-57,4.9452796054
3.1489069868e-18,1.2202583187
8.3373584439e-19,0.4699418018
2.5083496048e-20,0.1746677360
6.2093030775e-21,0.0926600845
4.4205203721e-18,1.1403979226
3.5280734462e-19,0.3785780974
5.5622502165e-18,0.8521427667
8.3206412571e-23,2.0314915757
6.0186786058e-18,0.9183248327
3.4018536170e-20,1.6874441269
1.3585143548e-23,2.1170771160
1.3914490619e-30,2.7394458560
3.3378719004e-21,1.8352486319
1.0285726471e-20,1.7668369285
3.9331077603e-18,0.7278461893
1.3359541471e-18,0.5303410915
3.4923702370e-18,0.6984961274
3.7565275254e-18,0.7160845048
2.8187779208e-23,2.0832666533
6.1716860689e-20,0.2355689775
4.4554105465e-18,0.7632710337
3.5354290450e-18,1.1960985570
4.1889954178e-19,1.4836253991
1.0157528555e-19,0.2724509608
4.2864252585e-22,1.9486760469
1.0092259565e-20,0.1194927063
2.7184264807e-20,0.1798409967
6.0241593476e-18,0.9198217562
2.7190129256e-18,0.6455400949
2.4565290217e-21,1.8530307013
1.2740539235e-23,2.1200114014
4.8680817676e-18,0.7929292688
1.0240963928e-33,2.9822026506
2.7862569219e-19,0.3565382335
4.4791060735e-19,0.4020326145
1.5240729172e-20,0.1437064088
4.7177361064e-20,0.2166811933
1.1674026179e-18,0.5120883748
3.2919656655e-19,0.3719980748
6.2735086331e-19,0.4374793700
1.4138769682e-18,0.5382830582
6.9941734596e-20,1.6352370255
4.9916223765e-18,0.8023323761
2.6820063883e-19,0.3530760736
7.3366987658e-20,0.2480823623
9.3340377566e-20,0.2660087333
1.7290253347e-19,0.3149632938
5.8839366913e-18,0.8917437308
1.9589443722e-19,0.3254941745
5.2689131137e-19,0.4187497074
1.7550382402e-18,0.5702280511
4.8585829329e-18,0.7922186825
9.0631400495e-19,0.4799826148
3.5661509515e-18,0.7034159595
5.2081482011e-18,1.0845273424
2.2464170215e-19,0.3373173347
6.6111102435e-21,0.0960141312
6.3289798066e-19,0.4384467399
5.6843977447e-21,0.0879946840
6.0652905641e-18,0.9343697550
8.7795484460e-20,0.2613912505
2.8172536139e-18,0.6524873431
3.6534051497e-27,2.4561306783
1.8179013829e-28,2.5673110826
3.8545409321e-27,2.4540995240
4.3992022499e-20,0.2118708855
2.1868019728e-21,0.0433366869
1.4106165807e-19,0.2982684539
5.0152122894e-18,0.8041652479
6.7406423660e-19,1.4351567043
6.7991122959e-30,2.6843364658
1.3863125216e-20,0.1380284151
3.9113191696e-18,0.7263924147
1.3410661177e-36,3.1990342558
1.3342521667e-18,1.3550490810
1.5474510138e-21,0.0308882121
7.8435763430e-46,3.8997101299
2.6130489823e-20,0.1772918199
5.6037394445e-19,0.4252673126
6.5823541049e-20,0.2401970740
1.5432764074e-18,0.5508926228
3.8221114748e-18,0.7204486691
1.5240627151e-19,1.5739018759
1.5135766637e-18,0.5480573828
1.5559853094e-19,0.3062431551
6.0848669492e-18,0.9511040323
5.9690842097e-18,1.0000015379
2.6923312195e-20,0.1792179462
8.4821303647e-20,0.2588105157
5.4239372232e-18,0.8386720307
3.6674843337e-18,0.7101614039
7.9983539453e-19,0.4650399795
7.7543630927e-20,0.2521513202
1.8184235771e-19,0.3191879165
6.2979128678e-19,0.4379057315
1.5075053156e-19,0.3036555298
5.3984951670e-18,1.0685908216
1.0529838648e-18,1.3845851347
9.0925749905e-21,1.7745971297
1.6317678687e-20,0.1478398755
2.9144021222e-18,1.2352050241
5.4228598165e-18,0.8385718653
1.6069150251e-19,0.3088901222
9.8730107572e-22,0.0180106038
1.1619960394e-20,0.1276286318
5.2797457254e-22,0.0007188925
1.5529285531e-20,0.1448384434
1.6710792669e-21,0.0334532993
1.7638046024e-19,0.3166278364
8.7471411576e-19,0.4756828275
1.2078352858e-19,0.2859040496
3.2413546587e-18,0.6816516655
4.4429877724e-19,0.4012159656
1.5130147916e-18,0.5480034210
7.9238231953e-20,1.6257879031
2.1467624619e-18,0.6028080969
5.1650138832e-18,0.8161394307
4.7238601958e-19,0.4074377247
2.4450627479e-23,2.0899208504
2.7899224788e-53,4.5269067221
7.3222785875e-50,4.2279851876
5.4200668428e-18,0.8383125069
2.0889748949e-19,1.5472547513
1.7251820298e-20,0.1512356185
3.7275892450e-40,3.4646746737
3.0548268262e-18,0.6689645499
1.4101462867e-18,0.5379091645
1.8205304404e-18,1.3124275737
4.4581359772e-18,1.1379395598
5.5087325889e-18,1.0585241114
5.8488275258e-57,4.8774663878
1.1167006353e-20,0.1253183230
1.8587068054e-51,4.3647210313
9.5628509979e-27,2.4193880320
1.2915765497e-19,0.2912074132
2.1299125445e-18,0.6014744676
4.3094082480e-24,2.1686871708
3.1028663662e-22,1.9654739503
2.9454981421e-21,0.0558655478
2.0012116152e-19,0.3273181222
1.9645627403e-18,0.5880894610
1.6591193808e-20,0.1488514542
2.5508004530e-20,0.1757431027
6.0217311471e-18,0.9878710337
1.1897754013e-18,0.5146056823
2.6766349563e-21,0.0516706295
4.0968603186e-22,1.9510427143
5.8291108043e-18,1.0227752718
4.3827756494e-19,0.3998431496
5.2046136581e-20,1.6571087675
4.7820520911e-19,1.4706054846
1.1021506198e-18,0.5045594767
6.0667097930e-18,0.9720975787
9.5514743021e-42,3.5845301085
1.4690669218e-27,2.4903992936
8.4069084032e-41,3.5132577976
1.3499936562e-56,4.8412508549
2.0778526224e-45,3.8663973965
1.7831590946e-24,2.2071859721
6.5422996470e-48,4.0663352872
8.1968733400e-57,4.8628069849
1.0035554537e-49,4.2164542351
7.6433865119e-23,2.0356289254
9.5331481575e-19,0.4861894207
1.9512622291e-24,2.2032983151
1.8159183869e-57,4.9287630572
1.0587109119e-57,4.9526900196
1.2496651367e-18,0.5211955471
8.9423184741e-29,2.5929493585
1.3401543036e-20,1.7499369819
2.3208253598e-18,0.6162958952
9.5382620248e-20,0.2676503470
5.5686578373e-18,0.8528005350
3.1000583247e-24,2.1831690899
4.4211896690e-20,0.2122125645
4.8977261781e-18,0.7951576675
5.9696232504e-31,2.7685337319
5.9738428211e-18,0.9078295563
1.5867023006e-19,0.3078480877
1.2209266175e-20,0.1305198337
6.8236673568e-19,0.4468099874
1.1917361333e-22,2.0138294644
2.6529571074e-18,0.6408168243
4.1287509266e-19,0.3938864947
1.4214232951e-19,0.2988843958
4.9795413359e-51,4.3275997701
1.3080323337e-19,0.2922153078
1.6434556772e-19,0.3107465522
6.0540280424e-18,0.9295143698
1.0503113888e-21,0.0195869156
5.9406017168e-19,0.4315371656
1.2498409551e-52,4.4682053537
1.0481079669e-35,3.1322288985
1.3139270545e-55,4.7446088448
4.4798089963e-30,2.6989072771
4.8828924480e-20,0.2190644123
7.4540458960e-48,4.0617222496
2.0545780462e-20,0.1620442335
7.1134726837e-20,0.2458249538
1.3658691264e-18,0.5334236457
6.3293684446e-21,0.0936808964
1.5769736242e-19,0.3073425962
1.6556070107e-20,1.7361832248
5.2489230395e-20,0.2241049199
4.0222415126e-19,1.4875542474
2.9428745754e-18,0.6612513410
1.6459445243e-20,0.1483660329
5.6361557980e-18,0.8599534545
1.2524977226e-18,0.5215020983
3.9713117113e-18,1.1689949154
