var,F_est,F_error,F_error_error,tauint,tauint_error,wopt
beta,2.0478572374,0.0263068094,0.0007686534,2.9270333841,0.1600422246,23.0000000000
sigma,12.6648395561,0.6979294822,0.0195055958,2.6414440748,0.1382783154,21.0000000000
theta1,1.3474950257,0.0157728648,0.0004304433,2.5127407676,0.1284661254,20.0000000000
theta2,1.1224537875,0.0413869872,0.0026924970,18.6769731159,2.2268219060,116.0000000000
