likelihood_beta,beta
4.1431553348e-18,1.5831350595
3.6181972375e-18,1.3165494124
5.0558475019e-18,2.1401176670
1.5466321820e-34,17.2669393411
3.7237951159e-18,1.3691028594
3.6287902122e-18,1.3218068601
5.4220663919e-18,2.5140485574
3.7329881457e-18,1.3736950282
3.5334777056e-18,1.2745917522
3.7057581559e-18,1.3601015899
5.2085935477e-18,2.2684210427
4.2263706099e-18,1.6271947783
4.1251383229e-18,1.5736842847
4.0642912862e-18,1.5419773103
4.3680368147e-18,1.7040100270
3.6675302722e-18,1.3410596414
4.8233444833e-18,1.9753050619
3.9956829476e-18,1.5065794022
5.0878419716e-18,2.1652633019
3.6973664270e-18,1.3559175120
3.8329322357e-18,1.4238382978
5.4387016962e-18,2.5410087737
4.2190672514e-18,1.6232993141
4.0880266847e-18,1.5543084465
3.6912775855e-18,1.3528830948
3.9477653249e-18,1.4820537425
3.6722998888e-18,1.3434329768
3.5953013309e-18,1.3051951521
3.6942912903e-18,1.3543848452
3.6938661739e-18,1.3541729889
3.8380345779e-18,1.4264101119
3.6836295046e-18,1.3490733082
4.5211340353e-18,1.7902714856
3.8084785091e-18,1.4115296089
3.7731075061e-18,1.3937731476
3.7791278059e-18,1.3967916012
9.9929509405e-23,10.5614032646
3.7093044941e-18,1.3618704885
3.8876330121e-18,1.4514785547
3.9980681863e-18,1.5078042790
7.0036605935e-28,13.9950399747
4.1627451272e-18,4.0822794449
3.7930304626e-18,1.4037679391
3.8866714353e-18,1.4509913131
5.5223147554e-18,2.7686961088
3.5386637631e-18,1.2771561794
3.7537093443e-18,1.3840573298
4.7194430067e-18,1.9089069915
3.6520078841e-18,1.3333404069
3.8072172384e-18,1.4108955012
3.6110156177e-18,1.3129866534
3.8449349975e-18,1.4298902603
5.1348368501e-18,2.2036961902
4.2390834503e-18,1.6339894720
4.0370121219e-18,1.5278605851
3.7064012109e-18,1.3604223114
4.1048462844e-18,4.1126495484
3.8375135772e-18,1.4261474458
4.0654216441e-18,1.5425635217
3.6723821761e-18,1.3434739285
1.3191129553e-25,12.6291411610
3.7862663998e-18,1.4003727107
2.0086140784e-18,5.1892812443
3.6508758578e-18,1.3327777235
4.5309854581e-18,1.7959615859
2.6271219365e-18,4.8535083170
4.4301698322e-18,1.7385584401
4.0182287606e-18,1.5181732889
4.6515958745e-18,1.8672668568
4.6414533842e-18,1.8611438849
5.5166277208e-18,2.7358222654
5.4796277123e-18,2.6206717686
4.6758672076e-18,3.7937011034
4.2694577607e-18,1.6502976642
5.5044497895e-18,2.9878078923
3.8492711096e-18,1.4320783342
4.9955053881e-18,2.0946033697
2.6502938926e-18,4.8415739548
3.6538063772e-18,1.3342344375
3.6807650228e-18,1.3476468811
4.0478311233e-18,1.5334524099
4.3041029273e-18,1.6690323955
4.0105350848e-18,1.5142128416
4.8193265735e-18,1.9726703457
3.7244996682e-18,1.3694546947
3.9756507901e-18,1.4963078329
4.7810112780e-18,1.9478294696
4.7271737284e-18,1.9137315763
3.6077970284e-18,1.3113903339
3.9108501239e-18,1.4632585900
3.7718979272e-18,1.3931668705
3.7815466137e-18,1.3980047668
3.8086919691e-18,1.4116369337
3.7692257639e-18,1.3918277147
3.5951048638e-18,1.3050977751
3.6285823468e-18,1.3217036661
2.1477208575e-18,5.1101734612
3.9743744199e-18,1.4956542875
3.5396126161e-18,1.2776254218
3.6375980187e-18,1.3261804986
3.6949513840e-18,1.3547138139
3.6891923920e-18,1.3518441995
3.5447573877e-18,1.2801699682
7.3533447384e-24,11.4347291418
3.5587342471e-18,1.2870851462
3.6439390131e-18,1.3293304833
5.3744219450e-18,2.4466256312
4.3347562148e-18,1.6857343354
2.7150379084e-26,13.0605690301
