likelihood_beta,beta
1.2411490929e-21,1.7821931981
4.1105478567e-27,13.0876555290
8.1746042432e-25,10.9004499942
1.5302078476e-21,2.2680980638
8.9479451038e-30,15.1157276313
1.4699247575e-21,2.1613910535
1.4099971924e-21,2.0590103662
1.2757101465e-21,1.8379743242
1.2872544245e-21,1.8566749107
1.3714626195e-21,1.9946285132
1.7721237968e-21,2.7764672793
1.3924201492e-21,2.0295227044
1.1238415070e-21,1.5938952868
1.2935213527e-21,1.8668437352
1.3809353596e-21,2.0103669713
1.2313626406e-21,1.7664427661
1.0907203165e-21,1.5406489358
1.4250612007e-21,2.0844609824
1.4499156555e-21,4.9370033691
1.3756507604e-21,2.0015802828
1.0711558090e-21,1.5091120968
1.4186542194e-21,4.9902431853
1.8743894073e-21,3.1096387778
1.2202706791e-21,1.7486095519
1.1277961850e-21,1.6002440586
1.1215136435e-21,1.5901574637
1.3685607051e-21,1.9898176969
5.0426760490e-57,27.4695854821
1.3802181794e-21,2.0091735224
1.0820292257e-21,1.5266486596
1.1209109650e-21,1.5891896594
1.6048102201e-21,2.4075000712
1.1839235862e-21,1.6902672580
1.1132049096e-21,1.5768114360
1.1663511479e-21,1.6620881163
1.1465190403e-21,1.6302848363
1.0596964068e-21,1.4906023777
1.9063287887e-21,3.7771965874
1.3710537314e-21,1.9939503616
1.7780847188e-21,4.2716834191
7.2019139801e-22,6.1526630261
1.2079218492e-21,1.7287744339
1.0672937475e-21,1.5028773138
8.8644159557e-22,1.2047844091
1.1343951143e-21,1.6108348232
1.2358426038e-21,1.7736508332
1.0390555057e-21,1.4571787089
1.3867841327e-21,2.0201117654
1.9214141423e-21,3.4610190746
9.8924457699e-22,1.3759663268
1.1797669927e-21,1.6836010590
9.7836874802e-22,1.3581089777
1.2577924939e-21,1.8090211933
1.6989069863e-21,2.6014319170
1.7311771059e-21,2.6750613461
1.1512600741e-21,1.6378886477
7.2607865704e-22,0.9220814528
1.1290762165e-21,1.6022986926
1.7125450268e-21,2.6319821546
9.8699563488e-22,1.3722778063
1.8930046040e-21,3.8624015496
1.3410922837e-21,1.9445059080
1.9181748096e-21,3.6616576262
2.4331089102e-39,20.5092975908
1.5293797091e-21,2.2666010699
1.7747692112e-21,4.2804543247
1.5202575872e-21,2.2501739320
1.6202549586e-21,2.4376933126
1.1987956997e-21,1.7141258001
1.1077448541e-21,1.5680366028
1.6762288092e-21,2.5522278511
1.8043666320e-21,4.1987232361
1.4701525472e-21,2.1617864864
1.6567834436e-21,2.5114272938
8.8494191982e-22,1.2022413858
1.2817905329e-21,1.8478190659
1.1413392908e-21,1.6219762059
9.6679207325e-22,1.3390440288
1.2592293955e-21,1.8113401705
1.0791767709e-21,1.5220505831
7.3052962844e-22,0.9302832164
1.1795553534e-21,1.6832616557
