var,F_est,F_error,F_error_error,tauint,tauint_error,wopt
beta,2.9418080758,0.0518548083,0.0016297779,3.9186916175,0.2299581173,30.0000000000
sigma,21.2004500604,1.0819600964,0.0328717752,3.5377044997,0.2011793004,28.0000000000
theta1,1.5088043219,0.0110548264,0.0002224316,1.3615599912,0.0517211825,12.0000000000
theta2,0.9388639325,0.0221291031,0.0009876222,8.6611046357,0.7165881627,61.0000000000
