W,tauint,error
0.000000,0.500000,0.000000
1.000000,1.369629,0.015589
2.000000,2.143775,0.034508
3.000000,2.837502,0.055939
4.000000,3.465565,0.078890
5.000000,4.035984,0.102720
6.000000,4.552451,0.126923
7.000000,5.019956,0.151171
8.000000,5.442201,0.175202
9.000000,5.826309,0.198946
10.000000,6.172587,0.222171
11.000000,6.486941,0.244881
12.000000,6.771322,0.266983
13.000000,7.027363,0.288392
14.000000,7.259682,0.309173
15.000000,7.472371,0.329400
16.000000,7.665039,0.348975
17.000000,7.840056,0.367928
18.000000,7.998290,0.386236
19.000000,8.139439,0.403823
20.000000,8.264014,0.420654
21.000000,8.373268,0.436741
22.000000,8.470211,0.452194
23.000000,8.556395,0.467062
24.000000,8.631567,0.481299
25.000000,8.698705,0.495044
26.000000,8.757004,0.508232
27.000000,8.805605,0.520788
28.000000,8.846467,0.532805
29.000000,8.881730,0.544397
30.000000,8.911085,0.555534
31.000000,8.935161,0.566243
32.000000,8.956738,0.576693
33.000000,8.973897,0.586756
34.000000,8.984371,0.596275
35.000000,8.988813,0.605279
36.000000,8.987491,0.613775
37.000000,8.981733,0.621843
38.000000,8.971801,0.629493
39.000000,8.960501,0.636919
40.000000,8.948194,0.644147
41.000000,8.934376,0.651142
42.000000,8.919795,0.657959
43.000000,8.902857,0.664482
44.000000,8.885337,0.670841
45.000000,8.865935,0.676940
46.000000,8.846090,0.682888
47.000000,8.827192,0.688797
48.000000,8.808944,0.694647
49.000000,8.791231,0.700434
50.000000,8.773913,0.706151
51.000000,8.756906,0.711796
52.000000,8.740612,0.717403
53.000000,8.725798,0.723040
54.000000,8.712115,0.728685
55.000000,8.700101,0.734387
56.000000,8.689088,0.740095
57.000000,8.679084,0.745814
58.000000,8.672720,0.751777
59.000000,8.668020,0.757819
60.000000,8.664821,0.763932
61.000000,8.661105,0.769941
62.000000,8.659211,0.776057
63.000000,8.657598,0.782145
64.000000,8.657542,0.788323
65.000000,8.659318,0.794621
66.000000,8.661221,0.800886
67.000000,8.665082,0.807290
68.000000,8.670301,0.813782
69.000000,8.677653,0.820439
70.000000,8.686649,0.827220
71.000000,8.697656,0.834163
72.000000,8.709591,0.841169
73.000000,8.724846,0.848474
74.000000,8.741207,0.855868
75.000000,8.756045,0.863094
76.000000,8.767715,0.869987
77.000000,8.777033,0.876622
78.000000,8.783944,0.882991
79.000000,8.789349,0.889180
80.000000,8.792051,0.895065
81.000000,8.793000,0.900739
82.000000,8.791951,0.906174
83.000000,8.791191,0.911604
84.000000,8.788068,0.916753
85.000000,8.783012,0.921664
86.000000,8.777436,0.926481
87.000000,8.771515,0.931223
88.000000,8.765169,0.935882
89.000000,8.758729,0.940493
90.000000,8.753431,0.945190
91.000000,8.749108,0.949957
92.000000,8.745020,0.954716
93.000000,8.739938,0.959333
94.000000,8.734373,0.963863
95.000000,8.729012,0.968381
96.000000,8.725496,0.973073
97.000000,8.721432,0.977672
98.000000,8.718296,0.982345
99.000000,8.715555,0.987034
100.000000,8.711955,0.991597
101.000000,8.706687,0.995940
102.000000,8.701878,1.000305
103.000000,8.695861,1.004502
104.000000,8.690380,1.008730
105.000000,8.686783,1.013149
106.000000,8.683200,1.017542
107.000000,8.680569,1.022020
108.000000,8.676159,1.026263
109.000000,8.671593,1.030461
110.000000,8.668063,1.034756
111.000000,8.665310,1.039118
112.000000,8.665281,1.043785
113.000000,8.666424,1.048573
114.000000,8.668639,1.053472
115.000000,8.670820,1.058348
116.000000,8.672006,1.063085
117.000000,8.670739,1.067502
118.000000,8.665319,1.071384
119.000000,8.659677,1.075213
120.000000,8.653348,1.078933
121.000000,8.646408,1.082550
122.000000,8.638335,1.085999
