W,tauint,error
0.000000,0.500000,0.000000
1.000000,1.169432,0.013310
2.000000,1.643554,0.026456
3.000000,1.995608,0.039342
4.000000,2.264515,0.051550
5.000000,2.487061,0.063298
6.000000,2.673398,0.074535
7.000000,2.822402,0.084994
8.000000,2.954701,0.095121
9.000000,3.067597,0.104746
10.000000,3.163326,0.113858
11.000000,3.247001,0.122574
12.000000,3.313451,0.130644
13.000000,3.367353,0.138191
14.000000,3.420038,0.145651
15.000000,3.472139,0.153060
16.000000,3.517958,0.160166
17.000000,3.554282,0.166800
18.000000,3.584064,0.173074
19.000000,3.610210,0.179114
20.000000,3.638877,0.185226
21.000000,3.675194,0.191694
22.000000,3.717920,0.198486
23.000000,3.754179,0.204927
24.000000,3.793313,0.211516
25.000000,3.828068,0.217856
26.000000,3.861774,0.224126
27.000000,3.888989,0.230005
28.000000,3.906871,0.235303
29.000000,3.915717,0.240010
30.000000,3.918692,0.244299
31.000000,3.915403,0.248129
32.000000,3.908927,0.251682
33.000000,3.899538,0.254970
34.000000,3.887673,0.258017
35.000000,3.877131,0.261074
36.000000,3.868349,0.264178
37.000000,3.866346,0.267683
38.000000,3.863643,0.271087
39.000000,3.860446,0.274403
40.000000,3.859013,0.277796
41.000000,3.854420,0.280912
42.000000,3.846457,0.283730
43.000000,3.839179,0.286544
44.000000,3.827929,0.289008
45.000000,3.810146,0.290916
46.000000,3.792542,0.292772
47.000000,3.776638,0.294696
48.000000,3.764223,0.296835
49.000000,3.752922,0.299011
50.000000,3.736326,0.300711
51.000000,3.719578,0.302342
52.000000,3.704380,0.304044
53.000000,3.691863,0.305917
54.000000,3.680183,0.307812
55.000000,3.666905,0.309528
56.000000,3.652640,0.311115
57.000000,3.636746,0.312514
58.000000,3.626221,0.314331
59.000000,3.615451,0.316088
60.000000,3.606333,0.317952
