tauint,rho,drho
0.000000,1.000000,0.000000
1.000000,0.669432,0.004730
2.000000,0.474122,0.007121
3.000000,0.352055,0.008468
4.000000,0.268907,0.009231
5.000000,0.222546,0.009555
6.000000,0.186337,0.009747
7.000000,0.149004,0.009956
8.000000,0.132299,0.010021
9.000000,0.112896,0.010081
10.000000,0.095729,0.010172
11.000000,0.083675,0.010263
12.000000,0.066450,0.010315
13.000000,0.053903,0.010288
14.000000,0.052685,0.010155
15.000000,0.052101,0.010007
16.000000,0.045819,0.009910
17.000000,0.036324,0.009866
18.000000,0.029782,0.009863
19.000000,0.026146,0.009869
20.000000,0.028667,0.009838
21.000000,0.036317,0.009772
22.000000,0.042725,0.009707
23.000000,0.036259,0.009681
24.000000,0.039135,0.009677
25.000000,0.034755,0.009679
26.000000,0.033705,0.009691
27.000000,0.027215,0.009723
28.000000,0.017881,0.009751
29.000000,0.008847,0.009800
30.000000,0.002974,0.009860
31.000000,-0.003288,0.009925
32.000000,-0.006476,0.009957
33.000000,-0.009389,0.009974
34.000000,-0.011865,0.009984
35.000000,-0.010542,0.009991
36.000000,-0.008782,0.009996
37.000000,-0.002004,0.010002
38.000000,-0.002703,0.010006
39.000000,-0.003197,0.010008
40.000000,-0.001433,0.010011
41.000000,-0.004593,0.010012
42.000000,-0.007962,0.010014
43.000000,-0.007279,0.010016
44.000000,-0.011250,0.010016
45.000000,-0.017783,0.010013
46.000000,-0.017604,0.010012
47.000000,-0.015904,0.010013
48.000000,-0.012415,0.010014
49.000000,-0.011301,0.010015
50.000000,-0.016595,0.010012
51.000000,-0.016748,0.010012
52.000000,-0.015198,0.010012
53.000000,-0.012517,0.010014
54.000000,-0.011679,0.010015
55.000000,-0.013278,0.010014
56.000000,-0.014266,0.010013
57.000000,-0.015893,0.010013
58.000000,-0.010526,0.010016
59.000000,-0.010770,0.010016
60.000000,-0.009118,0.010018
